"",BBK01.OECI08J,BBK01.OECI08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:07,
2002-01,0.216,
2002-04,0.126,
2002-07,0.127,
2002-10,0.141,
2003-01,0.142,
2003-04,0.144,
2003-07,0.161,
2003-10,0.157,
2004-01,0.147,
2004-04,0.142,
2004-07,0.191,
2004-10,0.193,
2005-01,0.486,
2005-04,0.486,
2005-07,0.479,
2005-10,0.469,
2006-01,0.465,
2006-04,0.461,
2006-07,0.453,
2006-10,0.456,
2007-01,0.474,
2007-04,0.476,
2007-07,0.467,
2007-10,0.475,
2008-01,0.471,
2008-04,0.475,
2008-07,0.454,
2008-10,0.456,
2009-01,0.463,
2009-04,0.486,
2009-07,0.577,
2009-10,0.552,
2010-01,0.560,
2010-04,0.546,
2010-07,0.548,
2010-10,0.558,
2011-01,0.550,
2011-04,0.529,
2011-07,0.521,
2011-10,0.515,
2012-01,0.598,
2012-04,0.582,
2012-07,0.580,
2012-10,0.587,
2013-01,0.548,
2013-04,0.539,
2013-07,0.525,
2013-10,0.528,
2014-01,0.512,
2014-04,0.504,
2014-07,0.518,
