"",BBK01.OEXO01R,BBK01.OEXO01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:17,
2002-01,0.672,
2002-04,0.649,
2002-07,0.612,
2002-10,0.624,
2003-01,0.632,
2003-04,0.620,
2003-07,0.594,
2003-10,0.583,
2004-01,0.575,
2004-04,0.561,
2004-07,0.536,
2004-10,0.398,
2005-01,0.405,
2005-04,0.423,
2005-07,0.421,
2005-10,0.409,
2006-01,0.427,
2006-04,0.437,
2006-07,0.440,
2006-10,0.446,
2007-01,0.474,
2007-04,0.571,
2007-07,0.598,
2007-10,0.639,
2008-01,0.706,
2008-04,0.758,
2008-07,0.786,
2008-10,0.820,
2009-01,0.940,
2009-04,0.915,
2009-07,0.889,
2009-10,0.893,
2010-01,0.835,
2010-04,0.779,
2010-07,0.755,
2010-10,0.739,
2011-01,0.791,
2011-04,0.860,
2011-07,0.873,
2011-10,0.866,
2012-01,0.872,
2012-04,0.850,
2012-07,0.847,
2012-10,0.830,
2013-01,0.795,
2013-04,0.744,
2013-07,0.705,
2013-10,0.693,
2014-01,0.688,
2014-04,0.677,
2014-07,0.659,
