"",BBK01.OELB11U,BBK01.OELB11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:44,
2002-01,0.036,
2002-04,0.033,
2002-07,0.030,
2002-10,0.030,
2003-01,0.037,
2003-04,0.047,
2003-07,0.050,
2003-10,0.051,
2004-01,0.074,
2004-04,0.072,
2004-07,0.065,
2004-10,0.068,
2005-01,0.035,
2005-04,0.025,
2005-07,0.025,
2005-10,0.030,
2006-01,0.027,
2006-04,0.028,
2006-07,0.026,
2006-10,0.026,
2007-01,0.023,
2007-04,0.021,
2007-07,0.025,
2007-10,0.028,
2008-01,0.029,
2008-04,0.032,
2008-07,0.031,
2008-10,0.032,
2009-01,0.032,
2009-04,0.030,
2009-07,0.038,
2009-10,0.043,
2010-01,0.043,
2010-04,0.046,
2010-07,0.047,
2010-10,0.047,
2011-01,0.049,
2011-04,0.052,
2011-07,0.057,
2011-10,0.054,
2012-01,0.056,
2012-04,0.058,
2012-07,0.063,
2012-10,0.062,
2013-01,0.072,
2013-04,0.072,
2013-07,0.076,
2013-10,0.078,
2014-01,0.078,
2014-04,0.079,
2014-07,0.086,
