"",BBK01.OEXL05O,BBK01.OEXL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:15,
2002-01,-1.336,
2002-04,-1.437,
2002-07,-1.663,
2002-10,-1.827,
2003-01,-1.963,
2003-04,-1.970,
2003-07,-1.934,
2003-10,-1.927,
2004-01,-1.947,
2004-04,-1.963,
2004-07,-1.999,
2004-10,-2.020,
2005-01,0.018,
2005-04,0.020,
2005-07,0.019,
2005-10,0.018,
2006-01,0.019,
2006-04,0.019,
2006-07,0.021,
2006-10,0.022,
2007-01,0.022,
2007-04,0.024,
2007-07,0.023,
2007-10,0.025,
2008-01,0.024,
2008-04,0.026,
2008-07,0.025,
2008-10,0.024,
2009-01,0.034,
2009-04,0.049,
2009-07,0.052,
2009-10,0.057,
2010-01,0.061,
2010-04,0.073,
2010-07,0.119,
2010-10,0.143,
2011-01,0.184,
2011-04,0.219,
2011-07,0.252,
2011-10,0.260,
2012-01,0.261,
2012-04,0.269,
2012-07,0.290,
2012-10,0.306,
2013-01,0.310,
2013-04,0.310,
2013-07,0.331,
2013-10,0.325,
2014-01,0.321,
2014-04,0.317,
2014-07,0.307,
