"",BBK01.OEBI01G,BBK01.OEBI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:11,
2002-01,95.604,
2002-04,98.006,
2002-07,98.289,
2002-10,104.865,
2003-01,104.551,
2003-04,106.048,
2003-07,105.970,
2003-10,111.423,
2004-01,109.507,
2004-04,109.208,
2004-07,110.353,
2004-10,113.663,
2005-01,49.819,
2005-04,50.789,
2005-07,38.978,
2005-10,40.736,
2006-01,39.437,
2006-04,39.627,
2006-07,39.438,
2006-10,41.450,
2007-01,43.254,
2007-04,45.244,
2007-07,46.921,
2007-10,52.149,
2008-01,50.242,
2008-04,52.211,
2008-07,54.438,
2008-10,60.000,
2009-01,65.535,
2009-04,67.050,
2009-07,65.845,
2009-10,65.881,
2010-01,63.619,
2010-04,63.577,
2010-07,63.413,
2010-10,66.021,
2011-01,63.888,
2011-04,65.421,
2011-07,67.820,
2011-10,71.496,
2012-01,71.006,
2012-04,73.491,
2012-07,74.559,
2012-10,76.361,
2013-01,72.475,
2013-04,72.155,
2013-07,72.754,
2013-10,75.649,
2014-01,73.573,
2014-04,75.044,
2014-07,76.006,
