"",BBK01.OELL02J,BBK01.OELL02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:46,
2002-01,0.282,
2002-04,0.303,
2002-07,0.309,
2002-10,0.325,
2003-01,0.328,
2003-04,0.348,
2003-07,0.339,
2003-10,0.338,
2004-01,0.342,
2004-04,0.344,
2004-07,0.343,
2004-10,0.375,
2005-01,0.392,
2005-04,0.387,
2005-07,0.384,
2005-10,0.390,
2006-01,0.391,
2006-04,0.393,
2006-07,0.382,
2006-10,0.357,
2007-01,0.368,
2007-04,0.363,
2007-07,0.388,
2007-10,0.390,
2008-01,0.404,
2008-04,0.402,
2008-07,0.383,
2008-10,0.389,
2009-01,0.429,
2009-04,0.485,
2009-07,0.539,
2009-10,0.561,
2010-01,0.591,
2010-04,0.611,
2010-07,0.642,
2010-10,0.649,
2011-01,0.645,
2011-04,0.642,
2011-07,0.641,
2011-10,0.657,
2012-01,0.672,
2012-04,0.712,
2012-07,0.730,
2012-10,0.746,
2013-01,0.773,
2013-04,0.797,
2013-07,0.804,
2013-10,0.842,
2014-01,0.759,
2014-04,0.785,
2014-07,0.784,
