"",BBK01.OEAC53K,BBK01.OEAC53K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:19,
2002-01,0.936,
2002-04,0.939,
2002-07,0.975,
2002-10,0.914,
2003-01,0.938,
2003-04,0.859,
2003-07,0.828,
2003-10,0.839,
2004-01,0.817,
2004-04,1.111,
2004-07,0.823,
2004-10,0.813,
2005-01,0.698,
2005-04,0.767,
2005-07,1.307,
2005-10,1.605,
2006-01,1.602,
2006-04,1.662,
2006-07,1.647,
2006-10,1.671,
2007-01,1.883,
2007-04,1.914,
2007-07,1.932,
2007-10,1.929,
2008-01,1.939,
2008-04,1.977,
2008-07,2.035,
2008-10,1.910,
2009-01,1.995,
2009-04,2.550,
2009-07,2.397,
2009-10,2.450,
2010-01,2.475,
2010-04,2.528,
2010-07,2.698,
2010-10,2.713,
2011-01,2.808,
2011-04,2.774,
2011-07,2.915,
2011-10,2.915,
2012-01,2.928,
2012-04,2.871,
2012-07,2.872,
2012-10,2.770,
2013-01,2.854,
2013-04,2.948,
2013-07,3.003,
2013-10,3.025,
2014-01,2.728,
2014-04,2.929,
2014-07,2.955,
