"",BBK01.CEH001,BBK01.CEH001_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:12:56,
1991-01,62.0,
1991-04,3.4,
1991-07,9.8,
1991-10,9.9,
1992-01,11.0,
1992-04,10.6,
1992-07,-40.4,
1992-10,44.7,
1993-01,1.1,
1993-04,20.6,
1993-07,-0.8,
1993-10,41.1,
1994-01,-0.2,
1994-04,11.8,
1994-07,16.0,
1994-10,64.0,
1995-01,15.7,
1995-04,7.3,
1995-07,12.9,
1995-10,11.4,
1996-01,-0.3,
1996-04,1.2,
1996-07,12.6,
1996-10,60.8,
1997-01,-10.1,
1997-04,2.9,
1997-07,18.7,
1997-10,30.0,
1998-01,14.9,
1998-04,-8.4,
1998-07,4.6,
1998-10,108.7,
1999-01,47.0,
1999-04,7.3,
1999-07,50.6,
1999-10,92.1,
2000-01,6.2,
2000-04,51.3,
2000-07,54.9,
2000-10,182.5,
2001-01,1.1,
2001-04,18.3,
2001-07,67.7,
2001-10,38.3,
2002-01,6.8,
2002-04,9.4,
2002-07,40.3,
2002-10,8.9,
2003-01,39.2,
2003-04,17.4,
2003-07,7.0,
2003-10,1.4,
2004-01,-30.3,
2004-04,32.0,
2004-07,21.3,
2004-10,11.9,
2005-01,-21.8,
2005-04,48.9,
2005-07,19.4,
2005-10,-21.3,
2006-01,79.3,
2006-04,29.9,
2006-07,50.0,
2006-10,89.9,
2007-01,24.4,
2007-04,23.3,
2007-07,120.3,
2007-10,142.9,
2008-01,12.3,
2008-04,14.5,
2008-07,24.8,
2008-10,-30.9,
2009-01,-20.6,
2009-04,48.7,
2009-07,3.5,
2009-10,9.3,
2010-01,33.6,
2010-04,16.1,
2010-07,70.0,
2010-10,61.7,
2011-01,91.9,
2011-04,9.2,
2011-07,-30.6,
2011-10,66.2,
2012-01,8.1,
2012-04,-9.8,
2012-07,64.1,
2012-10,72.3,
2013-01,15.3,
2013-04,-17.7,
2013-07,120.9,
2013-10,5.4,
2014-01,-6.3,
