"",BBEX3.M.LYD.USD.CA.AA.A01,BBEX3.M.LYD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Libya  / USD 1 = LYD ... (buying),
unit,LYD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:59,
1974-01,0.295310,
1974-02,0.295310,
1974-03,0.295310,
1974-04,0.295310,
1974-05,0.295310,
1974-06,0.295310,
1974-07,0.295310,
1974-08,0.295310,
1974-09,0.295310,
1974-10,0.295310,
1974-11,0.295310,
1974-12,0.295310,
1975-01,0.295310,
1975-02,0.295310,
1975-03,0.295310,
1975-04,0.295310,
1975-05,0.295310,
1975-06,0.295310,
1975-07,0.295310,
1975-08,0.295310,
1975-09,0.295310,
1975-10,0.295310,
1975-11,0.295310,
1975-12,0.295310,
1976-01,0.295310,
1976-02,0.295310,
1976-03,0.295310,
1976-04,0.295310,
1976-05,0.295310,
1976-06,0.295310,
1976-07,0.295310,
1976-08,0.295310,
1976-09,0.295310,
1976-10,0.295310,
1976-11,0.295310,
1976-12,0.295310,
1977-01,0.295310,
1977-02,0.295310,
1977-03,0.295310,
1977-04,0.295310,
1977-05,0.295310,
1977-06,0.295310,
1977-07,0.295310,
1977-08,0.295310,
1977-09,0.295310,
1977-10,0.295310,
1977-11,0.295310,
1977-12,0.295310,
1978-01,0.295310,
1978-02,0.295310,
1978-03,0.295310,
1978-04,0.295310,
1978-05,0.295310,
1978-06,0.295310,
1978-07,0.295310,
1978-08,0.295310,
1978-09,0.295310,
1978-10,0.295310,
1978-11,0.295310,
1978-12,0.295310,
1979-01,0.295310,
1979-02,0.295310,
1979-03,0.295310,
1979-04,0.295310,
1979-05,0.295310,
1979-06,0.295310,
1979-07,0.295310,
1979-08,0.295310,
1979-09,0.295310,
1979-10,0.295310,
1979-11,0.295310,
1979-12,0.295310,
1980-01,0.295310,
1980-02,0.295310,
1980-03,0.295310,
1980-04,0.295310,
1980-05,0.295310,
1980-06,0.295310,
1980-07,0.295310,
1980-08,0.295310,
1980-09,0.295310,
1980-10,0.295310,
1980-11,0.295310,
1980-12,0.295310,
1981-01,0.295310,
1981-02,0.295310,
1981-03,0.295310,
1981-04,0.295310,
1981-05,0.295310,
1981-06,0.295310,
1981-07,0.295310,
1981-08,0.295310,
1981-09,0.295310,
1981-10,0.295310,
1981-11,0.295310,
1981-12,0.295310,
1982-01,0.295310,
1982-02,0.295310,
1982-03,0.295310,
1982-04,0.295310,
1982-05,0.295310,
1982-06,0.295310,
1982-07,0.295310,
1982-08,0.295310,
1982-09,0.295310,
1982-10,0.295310,
1982-11,0.295310,
1982-12,0.295310,
1983-01,0.295310,
1983-02,0.295310,
1983-03,0.295310,
1983-04,0.295310,
1983-05,0.295310,
1983-06,0.295310,
1983-07,0.295310,
1983-08,0.295310,
1983-09,0.295310,
1983-10,0.295310,
1983-11,0.295310,
1983-12,0.295310,
1984-01,0.295310,
1984-02,0.295310,
1984-03,0.295310,
1984-04,0.295310,
1984-05,0.295310,
1984-06,0.295310,
1984-07,0.295310,
1984-08,0.295310,
1984-09,0.295310,
1984-10,0.295310,
1984-11,0.295310,
1984-12,0.295310,
1985-01,0.295310,
1985-02,0.295310,
1985-03,0.295310,
1985-04,0.295310,
1985-05,0.295310,
1985-06,0.295310,
1985-07,0.295310,
1985-08,0.295310,
1985-09,0.295310,
1985-10,0.295310,
1985-11,0.295310,
1985-12,0.295310,
1986-01,0.295310,
1986-02,0.295310,
1986-03,0.312160,
1986-04,0.302110,
1986-05,0.331085,
1986-06,0.327375,
1986-07,0.320124,
1986-08,0.317320,
1986-09,0.316349,
1986-10,0.318958,
1986-11,0.317255,
1986-12,0.313860,
1987-01,0.302123,
1987-02,0.302935,
1987-03,0.297877,
1987-04,0.294589,
1987-05,0.297664,
1987-06,0.299548,
1987-07,0.302396,
1987-08,0.297305,
1987-09,0.299489,
1987-10,0.289888,
1987-11,0.282763,
1987-12,0.272279,
1988-01,0.280271,
1988-02,0.281435,
1988-03,0.277301,
1988-04,0.276677,
1988-05,0.279277,
1988-06,0.292253,
1988-07,0.295391,
1988-08,0.296170,
1988-09,0.296599,
1988-10,0.285324,
1988-11,0.280059,
1988-12,0.284587,
1989-01,0.292610,
1989-02,0.288321,
1989-03,0.296481,
1989-04,0.295578,
1989-05,0.309485,
1989-06,0.307181,
1989-07,0.298944,
1989-08,0.305189,
1989-09,0.299239,
1989-10,0.299529,
1989-11,0.297296,
1989-12,0.291417,
1990-01,0.288545,
1990-02,0.290729,
1990-03,0.294404,
1990-04,0.294127,
1990-05,0.289684,
1990-06,0.289277,
1990-07,0.282161,
1990-08,0.275080,
1990-09,0.275010,
1990-10,0.267410,
1990-11,0.264315,
1990-12,0.270970,
1991-01,0.266190,
1991-02,0.269877,
1991-03,0.283733,
1991-04,0.288643,
1991-05,0.284506,
1991-06,0.291338,
1991-07,0.287011,
1991-08,0.290097,
1991-09,0.290097,
1991-10,0.290097,
1991-11,0.290097,
1991-12,0.290097,
1992-01,0.290097,
1992-02,0.290097,
1992-03,0.288602,
1992-04,0.288325,
1992-05,0.283200,
1992-06,0.275307,
1992-07,0.279594,
1992-08,0.279470,
1992-09,0.282118,
1992-10,0.293929,
1992-11,0.299682,
1992-12,0.299756,
1993-01,0.299049,
1993-02,0.300305,
1993-03,0.297878,
1993-04,0.291666,
1993-05,0.289295,
1993-06,0.296209,
1993-07,0.296459,
1993-08,0.316615,
1993-09,0.313730,
1993-10,0.319694,
1993-11,0.322067,
1993-12,0.322440,
1994-01,0.322200,
1994-02,0.319063,
1994-03,0.315883,
1994-04,0.313295,
1994-05,0.314673,
1994-06,0.306985,
1994-07,0.306011,
1994-08,0.307195,
1994-09,0.303514,
1994-10,0.298583,
1994-11,0.358628,comment
1994-12,0.358726,
1995-01,0.355244,
1995-02,0.350098,
1995-03,0.336599,
1995-04,0.332916,
1995-05,0.341669,
1995-06,0.334364,
1995-07,0.336812,
1995-08,0.352936,
1995-09,0.347660,
1995-10,0.348386,
1995-11,0.351963,
1995-12,0.352298,
1996-01,0.360130,
1996-02,0.355416,
1996-03,0.358392,
1996-04,0.362017,
1996-05,0.364997,
1996-06,0.362830,
1996-07,0.358382,
1996-08,0.358886,
1996-09,0.363069,
1996-10,0.362652,
1996-11,0.361622,
1996-12,0.364888,
1997-01,0.376891,
1997-02,0.377059,
1997-03,0.378611,
1997-04,0.383980,
1997-05,0.376268,
1997-06,0.376234,
1997-07,0.386690,
1997-08,0.384053,
1997-09,0.383280,
1997-10,0.379923,
1997-11,0.383985,
1997-12,0.387741,
1998-01,0.386115,
1998-02,0.387850,
1998-03,0.390799,
1998-04,0.389103,
1998-05,0.392169,
1998-06,0.394073,
1998-07,0.392298,
1998-08,0.393835,
1998-09,0.380614,
1998-10,0.449046,comment
1998-11,0.456218,
1998-12,0.449551,
1999-01,0.455050,
1999-02,0.463117,
1999-03,0.466682,
1999-04,0.466727,
1999-05,0.470253,
1999-06,0.472882,
1999-07,0.466386,
1999-08,0.464590,
1999-09,0.458285,
1999-10,0.458033,
1999-11,0.460628,
1999-12,0.460480,
2000-01,0.465230,
2000-02,0.493152,
2000-03,0.491598,
2000-04,0.500560,
2000-05,0.498482,
2000-06,0.496884,
2000-07,0.501652,
2000-08,0.507115,
2000-09,0.541062,
2000-10,0.546358,
2000-11,0.547640,
2000-12,0.538978,
2001-01,0.543824,
