"",BBK01.CEBO3Q,BBK01.CEBO3Q_FLAGS
"",Other deposits (consolidated) debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:01,
1991-01,1181.3,
1991-04,1190.6,
1991-07,1201.3,
1991-10,1231.1,
1992-01,1258.2,
1992-04,1275.5,
1992-07,1312.8,
1992-10,1305.5,
1993-01,1331.5,
1993-04,1357.1,
1993-07,1371.4,
1993-10,1426.4,
1994-01,1455.8,
1994-04,1462.1,
1994-07,1477.5,
1994-10,1494.2,
1995-01,1525.2,
1995-04,1550.7,
1995-07,1580.4,
1995-10,1601.5,
1996-01,1644.9,
1996-04,1650.4,
1996-07,1660.8,
1996-10,1684.5,
1997-01,1741.9,
1997-04,1765.0,
1997-07,1774.4,
1997-10,1810.2,
1998-01,1852.4,
1998-04,1867.2,
1998-07,1890.4,
1998-10,1934.6,
1999-01,2074.7,
1999-04,2082.5,
1999-07,2118.1,
1999-10,2208.0,
2000-01,2226.7,
2000-04,2224.6,
2000-07,2270.1,
2000-10,2298.1,
2001-01,2385.1,
2001-04,2385.2,
2001-07,2374.4,
2001-10,2399.9,
2002-01,2378.2,
2002-04,2315.9,
2002-07,2335.5,
2002-10,2351.8,
2003-01,2343.1,
2003-04,2309.8,
2003-07,2307.1,
2003-10,2326.2,
2004-01,2317.2,
2004-04,2280.6,
2004-07,2306.3,
2004-10,2383.8,
2005-01,2363.2,
2005-04,2357.5,
2005-07,2375.4,
2005-10,2403.1,
2006-01,2414.8,
2006-04,2398.0,
2006-07,2445.5,
2006-10,2432.7,
2007-01,2454.8,
2007-04,2475.5,
2007-07,2559.2,
2007-10,2636.4,
2008-01,2640.9,
2008-04,2643.8,
2008-07,2712.2,
2008-10,2656.4,
2009-01,2544.5,
2009-04,2535.7,
2009-07,2462.3,
2009-10,2419.7,
2010-01,2389.9,
2010-04,2415.3,
2010-07,2444.9,
2010-10,2493.5,
2011-01,2428.3,
2011-04,2424.3,
2011-07,2490.4,
2011-10,2459.8,
2012-01,2538.9,
2012-04,2526.5,
2012-07,2464.0,
2012-10,2350.3,
2013-01,2332.0,
2013-04,2305.6,
2013-07,2208.9,
2013-10,2175.5,
2014-01,2172.3,
