"",BBK01.OELJ05I,BBK01.OELJ05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:44,
2002-01,0.215,
2002-04,0.252,
2002-07,0.249,
2002-10,0.240,
2003-01,0.225,
2003-04,0.664,
2003-07,0.116,
2003-10,0.096,
2004-01,0.088,
2004-04,0.088,
2004-07,0.082,
2004-10,0.079,
2005-01,0.086,
2005-04,0.074,
2005-07,0.072,
2005-10,0.080,
2006-01,0.080,
2006-04,0.078,
2006-07,0.038,
2006-10,0.035,
2007-01,0.035,
2007-04,0.036,
2007-07,0.035,
2007-10,0.034,
2008-01,0.033,
2008-04,0.033,
2008-07,0.035,
2008-10,0.039,
2009-01,0.039,
2009-04,0.043,
2009-07,0.043,
2009-10,0.018,
2010-01,0.012,
2010-04,0.012,
2010-07,0.012,
2010-10,0.013,
2011-01,0.016,
2011-04,0.015,
2011-07,0.016,
2011-10,0.020,
2012-01,0.017,
2012-04,0.020,
2012-07,0.019,
2012-10,0.019,
2013-01,0.019,
2013-04,0.019,
2013-07,0.018,
2013-10,0.028,
2014-01,0.100,
2014-04,0.101,
2014-07,0.097,
