"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.AU.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.AU.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:53,
2009-09,910,
2009-10,890,
2009-11,902,
2009-12,923,
2010-01,870,
2010-02,914,
2010-03,910,
2010-04,915,
2010-05,827,
2010-06,819,
2010-07,863,
2010-08,819,
2010-09,891,
2010-10,906,
2010-11,934,
2010-12,992,
2011-01,894,
2011-02,891,
2011-03,904,
2011-04,964,
2011-05,929,
2011-06,870,
2011-07,863,
2011-08,799,
2011-09,723,
2011-10,836,
2011-11,897,
2011-12,920,
2012-01,996,
2012-02,1010,
2012-03,975,
2012-04,1014,
2012-05,899,
2012-06,940,
2012-07,1039,
2012-08,1087,
2012-09,1076,
2012-10,1096,
2012-11,1094,
2012-12,1148,
2013-01,1226,
2013-02,1333,
2013-03,1410,
2013-04,1412,
2013-05,1285,
2013-06,1215,
2013-07,1256,
2013-08,1270,
2013-09,1324,
2013-10,1358,
2013-11,1267,
2013-12,1427,
2014-01,1514,
2014-02,1608,
2014-03,1687,
2014-04,1706,
2014-05,1776,
2014-06,1760,
2014-07,1730,
2014-08,1777,
2014-09,1637,
2014-10,1751,
2014-11,1640,
