"",BBFB1.Q.N.DE.S6.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:12,
1991-01,-124.846,
1991-04,17.698,
1991-07,61.743,
1991-10,2.840,
1992-01,-38.679,
1992-04,-68.072,
1992-07,-183.584,
1992-10,253.974,
1993-01,167.907,
1993-04,-169.784,
1993-07,7.661,
1993-10,47.115,
1994-01,29.550,
1994-04,48.709,
1994-07,38.881,
1994-10,23.529,
1995-01,8.796,
1995-04,-39.916,
1995-07,84.100,
1995-10,-55.117,
1996-01,43.931,
1996-04,29.088,
1996-07,52.833,
1996-10,56.689,
1997-01,9.404,
1997-04,27.105,
1997-07,-5.564,
1997-10,103.160,
1998-01,-46.407,
1998-04,-36.442,
1998-07,151.397,
1998-10,62.545,
1999-01,188.713,
1999-04,26.603,
1999-07,-90.570,
1999-10,1.357,
2000-01,22.318,
2000-04,-95.630,
2000-07,-43.775,
2000-10,0.382,
2001-01,188.073,
2001-04,-178.216,
2001-07,-43.108,
2001-10,10.778,
2002-01,-27.724,
2002-04,-9.702,
2002-07,-18.364,
2002-10,285.390,
2003-01,-69.701,
2003-04,-56.647,
2003-07,-63.971,
2003-10,-30.265,
2004-01,-31.611,
2004-04,52.318,
2004-07,5.379,
2004-10,27.255,
2005-01,-42.459,
2005-04,18.190,
2005-07,10.394,
2005-10,-27.950,
2006-01,362.398,
2006-04,247.467,
2006-07,-65.371,
2006-10,37.035,
2007-01,-57.153,
2007-04,259.631,
2007-07,-135.571,
2007-10,-87.363,
2008-01,1011.994,
2008-04,243.950,
2008-07,-7.160,
2008-10,5.373,
2009-01,-835.520,
2009-04,268.382,
2009-07,79.185,
2009-10,351.170,
2010-01,-20.385,
2010-04,148.519,
2010-07,104.022,
2010-10,-14.191,
2011-01,17.300,
2011-04,-363.826,
2011-07,-137.678,
2011-10,102.882,
2012-01,18.803,
2012-04,-13.941,
2012-07,-3.877,
2012-10,392.209,
2013-01,371.266,
2013-04,746.332,
2013-07,-328.795,
2013-10,-198.642,
2014-01,-108.501,Provisional value
2014-04,688.250,Provisional value
2014-07,-898.779,Provisional value
2014-10,-1022.795,Provisional value
