"",BBK01.OEYB02I,BBK01.OEYB02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:37,
2002-01,4.352,
2002-04,3.781,
2002-07,3.557,
2002-10,3.561,
2003-01,2.976,
2003-04,2.677,
2003-07,3.842,
2003-10,3.581,
2004-01,3.462,
2004-04,3.291,
2004-07,3.567,
2004-10,4.176,
2005-01,3.477,
2005-04,3.536,
2005-07,4.500,
2005-10,4.109,
2006-01,4.190,
2006-04,4.099,
2006-07,6.609,
2006-10,7.257,
2007-01,5.686,
2007-04,5.280,
2007-07,5.679,
2007-10,8.883,
2008-01,10.225,
2008-04,9.717,
2008-07,10.623,
2008-10,9.560,
2009-01,10.082,
2009-04,10.179,
2009-07,10.479,
2009-10,12.288,
2010-01,12.577,
2010-04,11.099,
2010-07,7.928,
2010-10,8.389,
2011-01,9.554,
2011-04,11.466,
2011-07,13.414,
2011-10,9.211,
2012-01,13.223,
2012-04,14.284,
2012-07,12.184,
2012-10,8.542,
2013-01,9.266,
2013-04,11.810,
2013-07,4.051,
2013-10,4.333,
2014-01,5.059,
2014-04,5.164,
2014-07,4.608,
