"",BBK01.OEYL03N,BBK01.OEYL03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:10,
2002-01,8.148,
2002-04,8.243,
2002-07,8.093,
2002-10,8.340,
2003-01,8.340,
2003-04,8.581,
2003-07,8.439,
2003-10,8.639,
2004-01,8.722,
2004-04,9.249,
2004-07,8.939,
2004-10,9.213,
2005-01,9.355,
2005-04,9.381,
2005-07,8.896,
2005-10,9.091,
2006-01,9.146,
2006-04,9.314,
2006-07,9.313,
2006-10,9.576,
2007-01,9.610,
2007-04,9.683,
2007-07,9.507,
2007-10,9.577,
2008-01,9.553,
2008-04,9.561,
2008-07,9.561,
2008-10,9.635,
2009-01,9.609,
2009-04,9.648,
2009-07,9.583,
2009-10,9.723,
2010-01,9.869,
2010-04,10.017,
2010-07,10.070,
2010-10,10.187,
2011-01,10.224,
2011-04,10.556,
2011-07,13.035,
2011-10,11.832,
2012-01,13.063,
2012-04,12.889,
2012-07,12.873,
2012-10,14.700,
2013-01,14.533,
2013-04,14.417,
2013-07,14.419,
2013-10,14.692,
2014-01,14.923,
2014-04,14.836,
2014-07,15.257,
