"",BBK01.OEAH29R,BBK01.OEAH29R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:42,
2002-01,1.929,
2002-04,1.890,
2002-07,2.029,
2002-10,2.165,
2003-01,1.776,
2003-04,1.841,
2003-07,1.873,
2003-10,2.074,
2004-01,1.821,
2004-04,1.859,
2004-07,1.916,
2004-10,2.117,
2005-01,1.864,
2005-04,1.883,
2005-07,2.107,
2005-10,2.204,
2006-01,1.974,
2006-04,2.080,
2006-07,2.194,
2006-10,2.379,
2007-01,2.269,
2007-04,2.344,
2007-07,2.454,
2007-10,2.482,
2008-01,2.491,
2008-04,2.355,
2008-07,2.589,
2008-10,2.767,
2009-01,2.678,
2009-04,2.600,
2009-07,2.841,
2009-10,3.324,
2010-01,3.076,
2010-04,3.143,
2010-07,3.315,
2010-10,3.447,
2011-01,3.238,
2011-04,3.195,
2011-07,3.371,
2011-10,3.379,
2012-01,3.268,
2012-04,3.471,
2012-07,3.902,
2012-10,3.941,
2013-01,3.843,
2013-04,3.849,
2013-07,4.106,
2013-10,4.131,
2014-01,4.030,
2014-04,4.100,
2014-07,4.369,
