"",BBK01.PQU361,BBK01.PQU361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:30,
1999-01,8.407,
1999-04,8.276,
1999-07,8.291,
1999-10,8.403,
2000-01,8.536,
2000-04,8.579,
2000-07,8.659,
2000-10,8.763,
2001-01,8.819,
2001-04,8.883,
2001-07,8.927,
2001-10,8.924,
2002-01,8.868,
2002-04,8.844,
2002-07,8.904,
2002-10,8.903,
2003-01,8.857,
2003-04,8.752,
2003-07,8.728,
2003-10,8.602,
2004-01,8.526,
2004-04,8.526,
2004-07,8.379,
2004-10,8.301,
2005-01,8.194,
2005-04,8.112,
2005-07,8.035,
2005-10,7.990,
2006-01,7.908,
2006-04,7.855,
2006-07,7.905,
2006-10,7.998,
2007-01,8.056,
2007-04,8.149,
2007-07,8.275,
2007-10,8.407,
2008-01,8.513,
2008-04,8.693,
2008-07,8.906,
2008-10,9.036,
2009-01,9.098,
2009-04,9.185,
2009-07,9.273,
2009-10,9.392,
2010-01,9.416,
2010-04,9.434,
2010-07,9.446,
2010-10,9.470,
2011-01,9.534,
2011-04,9.623,
2011-07,9.758,
2011-10,9.877,
2012-01,9.961,
2012-04,10.049,
2012-07,10.127,
2012-10,10.164,
2013-01,10.210,
2013-04,10.369,
2013-07,10.457,
2013-10,10.530,
2014-01,10.609,
2014-04,10.687,
2014-07,10.746,
2014-10,10.716,
