"",BBK01.OEXL06K,BBK01.OEXL06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:20,
2002-01,0.201,
2002-04,0.211,
2002-07,0.231,
2002-10,0.228,
2003-01,0.220,
2003-04,0.207,
2003-07,0.204,
2003-10,0.204,
2004-01,0.220,
2004-04,0.205,
2004-07,0.191,
2004-10,0.181,
2005-01,0.201,
2005-04,0.198,
2005-07,0.198,
2005-10,0.192,
2006-01,0.199,
2006-04,0.191,
2006-07,0.208,
2006-10,0.217,
2007-01,0.214,
2007-04,0.223,
2007-07,0.224,
2007-10,0.281,
2008-01,0.316,
2008-04,0.365,
2008-07,0.406,
2008-10,0.491,
2009-01,0.586,
2009-04,0.507,
2009-07,0.441,
2009-10,0.356,
2010-01,0.318,
2010-04,0.420,
2010-07,0.462,
2010-10,0.474,
2011-01,0.504,
2011-04,0.578,
2011-07,0.642,
2011-10,0.657,
2012-01,0.659,
2012-04,0.680,
2012-07,0.698,
2012-10,0.729,
2013-01,0.686,
2013-04,0.600,
2013-07,0.570,
2013-10,0.565,
2014-01,0.575,
2014-04,0.582,
2014-07,0.547,
