"",BBK01.OEAC19K,BBK01.OEAC19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:40,
2002-01,0.538,
2002-04,0.441,
2002-07,0.424,
2002-10,0.404,
2003-01,0.426,
2003-04,0.421,
2003-07,0.408,
2003-10,0.407,
2004-01,0.389,
2004-04,0.329,
2004-07,0.367,
2004-10,0.342,
2005-01,0.297,
2005-04,0.267,
2005-07,0.246,
2005-10,0.267,
2006-01,0.219,
2006-04,0.230,
2006-07,0.243,
2006-10,0.200,
2007-01,0.215,
2007-04,0.220,
2007-07,0.243,
2007-10,0.233,
2008-01,0.276,
2008-04,0.312,
2008-07,0.264,
2008-10,0.972,
2009-01,0.924,
2009-04,0.991,
2009-07,0.999,
2009-10,1.088,
2010-01,0.843,
2010-04,0.824,
2010-07,0.886,
2010-10,0.837,
2011-01,0.811,
2011-04,0.707,
2011-07,0.726,
2011-10,0.616,
2012-01,0.669,
2012-04,0.739,
2012-07,0.512,
2012-10,0.541,
2013-01,0.542,
2013-04,0.526,
2013-07,0.465,
2013-10,0.751,
2014-01,0.608,
2014-04,0.625,
2014-07,0.483,
