"",BBK01.OEAH74L,BBK01.OEAH74L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:29,
2002-01,4.702,
2002-04,5.202,
2002-07,5.198,
2002-10,5.182,
2003-01,5.501,
2003-04,6.634,
2003-07,4.524,
2003-10,4.485,
2004-01,6.971,
2004-04,7.276,
2004-07,5.663,
2004-10,4.751,
2005-01,5.547,
2005-04,7.411,
2005-07,9.573,
2005-10,7.057,
2006-01,7.401,
2006-04,9.257,
2006-07,8.710,
2006-10,7.563,
2007-01,9.346,
2007-04,14.404,
2007-07,11.430,
2007-10,12.925,
2008-01,11.650,
2008-04,14.527,
2008-07,15.852,
2008-10,10.657,
2009-01,10.653,
2009-04,15.545,
2009-07,7.156,
2009-10,7.910,
2010-01,6.153,
2010-04,7.504,
2010-07,6.934,
2010-10,7.593,
2011-01,8.510,
2011-04,10.276,
2011-07,11.896,
2011-10,11.195,
2012-01,10.206,
2012-04,12.168,
2012-07,11.497,
2012-10,14.051,
2013-01,11.497,
2013-04,11.428,
2013-07,10.249,
2013-10,14.824,
2014-01,12.448,
2014-04,13.592,
2014-07,14.316,
