"",BBK01.OEAH19R,BBK01.OEAH19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:39,
2002-01,0.092,
2002-04,0.088,
2002-07,0.086,
2002-10,0.103,
2003-01,0.092,
2003-04,0.093,
2003-07,0.109,
2003-10,0.109,
2004-01,0.098,
2004-04,0.097,
2004-07,0.090,
2004-10,0.074,
2005-01,0.137,
2005-04,0.139,
2005-07,0.134,
2005-10,0.132,
2006-01,0.137,
2006-04,0.169,
2006-07,0.169,
2006-10,0.176,
2007-01,0.183,
2007-04,0.168,
2007-07,0.175,
2007-10,0.201,
2008-01,0.198,
2008-04,0.200,
2008-07,0.228,
2008-10,0.229,
2009-01,0.251,
2009-04,0.262,
2009-07,0.240,
2009-10,0.253,
2010-01,0.252,
2010-04,0.249,
2010-07,0.243,
2010-10,0.245,
2011-01,0.255,
2011-04,0.250,
2011-07,0.247,
2011-10,0.263,
2012-01,0.288,
2012-04,0.317,
2012-07,0.326,
2012-10,0.304,
2013-01,0.455,
2013-04,0.273,
2013-07,0.253,
2013-10,0.321,
2014-01,0.274,
2014-04,0.335,
2014-07,0.332,
