"",BBK01.OEAN04L,BBK01.OEAN04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:58,
2002-01,22.378,
2002-04,22.209,
2002-07,22.777,
2002-10,24.050,
2003-01,24.730,
2003-04,25.210,
2003-07,25.561,
2003-10,26.168,
2004-01,26.515,
2004-04,26.858,
2004-07,27.426,
2004-10,28.171,
2005-01,31.587,
2005-04,31.755,
2005-07,31.428,
2005-10,32.210,
2006-01,32.348,
2006-04,32.220,
2006-07,31.804,
2006-10,31.437,
2007-01,30.219,
2007-04,29.054,
2007-07,27.556,
2007-10,26.139,
2008-01,24.921,
2008-04,24.527,
2008-07,23.818,
2008-10,23.843,
2009-01,24.607,
2009-04,25.597,
2009-07,27.375,
2009-10,28.992,
2010-01,30.334,
2010-04,28.838,
2010-07,29.712,
2010-10,30.907,
2011-01,31.501,
2011-04,29.588,
2011-07,29.360,
2011-10,29.408,
2012-01,29.618,
2012-04,29.221,
2012-07,28.857,
2012-10,28.768,
2013-01,28.327,
2013-04,28.269,
2013-07,28.223,
2013-10,28.243,
2014-01,27.299,
2014-04,26.380,
2014-07,25.985,
