"",BBK01.OEXB24I,BBK01.OEXB24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:17,
2002-01,0.684,
2002-04,0.557,
2002-07,0.522,
2002-10,0.525,
2003-01,0.510,
2003-04,0.452,
2003-07,0.455,
2003-10,0.456,
2004-01,0.468,
2004-04,0.461,
2004-07,0.615,
2004-10,0.530,
2005-01,0.589,
2005-04,0.613,
2005-07,0.566,
2005-10,0.510,
2006-01,0.506,
2006-04,0.510,
2006-07,0.508,
2006-10,0.502,
2007-01,0.541,
2007-04,0.572,
2007-07,0.590,
2007-10,0.547,
2008-01,0.515,
2008-04,0.511,
2008-07,0.513,
2008-10,0.537,
2009-01,0.517,
2009-04,0.567,
2009-07,0.580,
2009-10,0.611,
2010-01,0.824,
2010-04,0.905,
2010-07,0.875,
2010-10,0.947,
2011-01,0.949,
2011-04,0.880,
2011-07,0.823,
2011-10,0.863,
2012-01,0.916,
2012-04,0.923,
2012-07,1.025,
2012-10,1.072,
2013-01,1.124,
2013-04,1.195,
2013-07,1.403,
2013-10,1.612,
2014-01,1.754,
2014-04,1.687,
2014-07,1.811,
