"",BBK01.OEAA16N,BBK01.OEAA16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:06,
2002-01,9.614,
2002-04,9.542,
2002-07,9.441,
2002-10,9.416,
2003-01,9.256,
2003-04,9.168,
2003-07,9.121,
2003-10,9.028,
2004-01,8.862,
2004-04,8.732,
2004-07,8.639,
2004-10,7.173,
2005-01,7.739,
2005-04,7.613,
2005-07,7.443,
2005-10,7.361,
2006-01,7.103,
2006-04,6.928,
2006-07,6.819,
2006-10,6.595,
2007-01,6.423,
2007-04,6.311,
2007-07,6.120,
2007-10,6.002,
2008-01,5.816,
2008-04,5.701,
2008-07,5.601,
2008-10,5.487,
2009-01,5.346,
2009-04,5.252,
2009-07,5.185,
2009-10,5.418,
2010-01,4.951,
2010-04,4.857,
2010-07,4.746,
2010-10,4.625,
2011-01,4.545,
2011-04,4.450,
2011-07,4.319,
2011-10,4.227,
2012-01,4.124,
2012-04,4.063,
2012-07,3.943,
2012-10,4.095,
2013-01,3.960,
2013-04,3.963,
2013-07,3.900,
2013-10,3.826,
2014-01,3.740,
2014-04,3.660,
2014-07,3.559,
