"",BBSF2.M.1.S.I0122.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:34,
1993-04,459,
1993-05,272,
1993-06,188,
1993-07,318,
1993-08,471,
1993-09,330,
1993-10,401,
1993-11,635,
1993-12,412,
1994-01,473,
1994-02,735,
1994-03,667,
1994-04,634,
1994-05,679,
1994-06,350,
1994-07,855,
1994-08,642,
1994-09,252,
1994-10,121,
1994-11,341,
1994-12,997,
1995-01,1129,
1995-02,428,
1995-03,1028,
1995-04,301,
1995-05,253,
1995-06,160,
1995-07,1083,
1995-08,421,
1995-09,466,
1995-10,160,
1995-11,-8,
1995-12,1212,
1996-01,969,
1996-02,631,
1996-03,1085,
1996-04,900,
1996-05,524,
1996-06,856,
1996-07,622,
1996-08,268,
1996-09,158,
1996-10,867,
1996-11,220,
1996-12,1476,
1997-01,1019,
1997-02,1415,
1997-03,1403,
1997-04,1397,
1997-05,477,
1997-06,3189,
1997-07,1305,
1997-08,1171,
1997-09,1334,
1997-10,878,
1997-11,-10,
1997-12,3372,
1998-01,3122,
1998-02,1481,
1998-03,2070,
1998-04,1484,
1998-05,1261,
1998-06,1110,
1998-07,1733,
1998-08,1832,
1998-09,1896,
1998-10,1390,
1998-11,600,
1998-12,3256,
1999-01,1165,
1999-02,1201,
1999-03,24,
1999-04,2536,
1999-05,3510,
1999-06,1325,
1999-07,528,
1999-08,1249,
1999-09,-597,
1999-10,433,
1999-11,1779,
1999-12,5163,
2000-01,2745,
2000-02,1003,
2000-03,702,
2000-04,1085,
2000-05,1791,
2000-06,487,
2000-07,1087,
2000-08,1195,
2000-09,570,
2000-10,613,
2000-11,1454,
2000-12,1593,
2001-01,1686,
2001-02,1123,
2001-03,-178,
2001-04,1007,
2001-05,-1050,
2001-06,719,
2001-07,-820,
2001-08,483,
2001-09,409,
2001-10,580,
2001-11,-308,
2001-12,4405,
2002-01,-5,
2002-02,505,
2002-03,-4600,
2002-04,219,
2002-05,1460,
2002-06,-549,
2002-07,629,
2002-08,465,
2002-09,998,
2002-10,855,
2002-11,3509,
2002-12,1610,
2003-01,38,
2003-02,1701,
2003-03,103,
2003-04,563,
2003-05,1249,
2003-06,1123,
2003-07,621,
2003-08,340,
2003-09,-1807,
2003-10,-3642,
2003-11,-572,
2003-12,-168,
2004-01,-998,
2004-02,-535,
2004-03,133,
2004-04,337,
2004-05,501,
2004-06,-676,
2004-07,-62,
2004-08,-18,
2004-09,294,
2004-10,563,
2004-11,298,
2004-12,891,
2005-01,115,
2005-02,487,
2005-03,-378,
2005-04,379,
2005-05,161,
2005-06,1218,
2005-07,1116,
2005-08,493,
2005-09,941,
2005-10,228,
2005-11,-63,
2005-12,2117,
2006-01,173,
2006-02,-362,
2006-03,990,
2006-04,2159,
2006-05,3413,
2006-06,-105,
2006-07,-303,
2006-08,19,
2006-09,-145,
2006-10,-761,
2006-11,864,
2006-12,-426,
2007-01,906,
2007-02,583,
2007-03,949,
2007-04,1315,
2007-05,235,
2007-06,630,
2007-07,340,
2007-08,-2051,
2007-09,949,
2007-10,-2902,
2007-11,-1455,
2007-12,-1517,
2008-01,242,
2008-02,-385,
2008-03,-847,
2008-04,-332,
2008-05,-445,
2008-06,-2234,
2008-07,-301,
2008-08,130,
2008-09,54,
2008-10,562,
2008-11,-713,
2008-12,-3840,
2009-01,-897,
2009-02,-1617,
2009-03,-863,
2009-04,-90,
2009-05,-732,
2009-06,-2040,
2009-07,1501,
2009-08,793,
2009-09,312,
2009-10,1143,
2009-11,673,
2009-12,403,
2010-01,-304,
2010-02,983,
2010-03,-2570,
2010-04,173,
2010-05,-689,
2010-06,-744,
2010-07,278,
2010-08,917,
2010-09,72,
2010-10,2618,
2010-11,-41,
2010-12,-208,
2011-01,163,
2011-02,-45,
2011-03,-569,
2011-04,-8,
2011-05,-290,
2011-06,-143,
2011-07,83,
2011-08,-17,
2011-09,-522,
2011-10,-522,
2011-11,-331,
2011-12,-763,
2012-01,-794,
2012-02,-1639,
2012-03,-468,
2012-04,282,
2012-05,-183,
2012-06,584,
2012-07,-15,
2012-08,200,
2012-09,690,
2012-10,578,
2012-11,24,
2012-12,1101,
2013-01,854,
2013-02,-1318,
2013-03,-371,
2013-04,730,
2013-05,619,
2013-06,446,
2013-07,345,
2013-08,233,
2013-09,-26,
2013-10,-491,
2013-11,-52,
2013-12,735,
2014-01,221,
2014-02,520,
2014-03,190,
2014-04,156,
2014-05,824,
2014-06,-1001,
2014-07,544,
2014-08,294,
2014-09,266,
2014-10,468,
2014-11,1162,
