"",BBK01.QUY956,BBK01.QUY956_FLAGS
"",Consolidated German banks: Foreign shares issued by foreign enterprises and households / Hong Kong / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:37:58,
2002-03,0.220,
2002-04,0.050,
2002-05,0.048,
2002-06,0.039,
2002-07,0.045,
2002-08,0.071,
2002-09,0.023,
2002-10,0.059,
2002-11,0.028,
2002-12,0.022,
2003-01,0.015,
2003-02,0.022,
2003-03,0.018,
2003-04,0.021,
2003-05,0.020,
2003-06,0.021,
2003-07,-0.005,
2003-08,0.069,
2003-09,0.426,
2003-10,0.465,
2003-11,0.488,
2003-12,0.646,
2004-01,0.595,
2004-02,0.664,
2004-03,0.873,
2004-04,0.841,
2004-05,0.915,
2004-06,0.956,
2004-07,0.686,
2004-08,1.021,
2004-09,0.973,
2004-10,1.140,
2004-11,0.808,
2004-12,0.840,
2005-01,0.967,
2005-02,1.020,
2005-03,0.850,
2005-04,0.693,
2005-05,0.656,
2005-06,0.709,
2005-07,1.107,
2005-08,1.398,
2005-09,1.153,
2005-10,1.043,
2005-11,0.878,
2005-12,0.734,
2006-01,0.683,
2006-02,0.785,
2006-03,0.692,
2006-04,0.748,
2006-05,0.757,
2006-06,0.690,
2006-07,0.722,
2006-08,0.805,
2006-09,0.905,
2006-10,0.854,
2006-11,0.950,
2006-12,1.379,
2007-01,1.482,
2007-02,1.449,
2007-03,1.453,
2007-04,1.526,
2007-05,1.465,
2007-06,1.477,
2007-07,0.685,
2007-08,0.530,
2007-09,0.143,
2007-10,0.124,
2007-11,-0.327,
2007-12,0.682,
2008-01,1.209,
2008-02,1.413,
2008-03,1.155,
2008-04,1.780,
2008-05,1.547,
2008-06,1.165,
2008-07,1.255,
2008-08,1.191,
2008-09,0.905,
2008-10,1.016,
2008-11,0.871,
2008-12,1.098,
2009-01,0.789,
2009-02,0.760,
2009-03,0.845,
2009-04,0.831,
2009-05,1.032,
2009-06,1.142,
2009-07,1.431,
2009-08,1.230,
2009-09,0.948,
2009-10,0.948,
2009-11,0.952,
2009-12,0.902,
2010-01,0.945,
2010-02,0.769,
2010-03,0.990,
2010-04,1.002,
2010-05,0.753,
2010-06,0.875,
2010-07,0.839,
2010-08,0.812,
2010-09,1.453,
2010-10,1.271,
2010-11,1.443,
2010-12,1.257,
2011-01,1.369,
2011-02,0.913,
2011-03,0.907,
2011-04,0.906,
2011-05,0.925,
2011-06,0.889,
2011-07,0.101,
2011-08,0.115,
2011-09,0.052,
2011-10,-0.010,
2011-11,-0.058,
2011-12,-0.068,
2012-01,-0.085,
2012-02,-0.078,
2012-03,-0.018,
2012-04,0.784,
2012-05,0.567,
2012-06,0.331,
2012-07,0.475,
2012-08,0.545,
2012-09,0.754,
2012-10,1.010,
2012-11,1.240,
2012-12,1.059,
2013-01,1.265,
2013-02,1.406,
2013-03,1.103,
2013-04,1.299,
2013-05,1.222,
2013-06,0.866,
2013-07,0.965,
2013-08,1.122,
2013-09,1.102,
2013-10,1.130,
2013-11,1.070,
2013-12,0.915,
2014-01,0.839,
2014-02,0.785,
2014-03,0.703,
2014-04,0.742,
2014-05,0.731,
2014-06,0.877,
2014-07,1.094,
2014-08,1.134,
2014-09,0.960,
2014-10,0.874,
