"",BBEX3.M.TND.EUR.CA.AC.A01,BBEX3.M.TND.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Tunisia  / EUR 1 = TND ... (middle),
unit,TND (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:24,
1999-01,1.27080,
1999-02,1.26860,
1999-03,1.26440,
1999-04,1.26075,
1999-05,1.25695,
1999-06,1.26105,
1999-07,1.27675,
1999-08,1.26520,
1999-09,1.26570,
1999-10,1.26140,
1999-11,1.25335,
1999-12,1.26680,
2000-01,1.25070,
2000-02,1.25195,
2000-03,1.25345,
2000-04,1.24630,
2000-05,1.27265,
2000-06,1.27205,
2000-07,1.26340,
2000-08,1.25835,
2000-09,1.25655,
2000-10,1.23915,
2000-11,1.25405,
2000-12,1.28630,
2001-01,1.27695,
2001-02,1.27215,
2001-03,1.26640,
2001-04,1.27305,
2001-05,1.26460,
2001-06,1.26630,
2001-07,1.28340,
2001-08,1.30190,
2001-09,1.30045,
2001-10,1.29815,
2001-11,1.28970,
2001-12,1.29215,
2002-01,1.28125,
2002-02,1.28540,
2002-03,1.29945,
2002-04,1.31665,
2002-05,1.33825,
2002-06,1.35605,
2002-07,1.34580,
2002-08,1.35355,
2002-09,1.35865,
2002-10,1.36550,
2002-11,1.37020,
2002-12,1.40105,
2003-01,1.40760,
2003-02,1.41295,
2003-03,1.42390,
2003-04,1.44270,
2003-05,1.47675,
2003-06,1.45605,
2003-07,1.45385,
2003-08,1.43110,
2003-09,1.46820,
2003-10,1.47295,
2003-11,1.49020,
2003-12,1.52750,
2004-01,1.52045,
2004-02,1.53090,
2004-03,1.52360,
2004-04,1.52660,
2004-05,1.53915,
2004-06,1.53485,
2004-07,1.53525,
2004-08,1.53795,
2004-09,1.55150,
2004-10,1.56660,
2004-11,1.60225,
2004-12,1.62870,
2005-01,1.60145,
2005-02,1.61645,
2005-03,1.61120,
2005-04,1.61505,
2005-05,1.60540,
2005-06,1.60300,
2005-07,1.61220,
2005-08,1.61715,
2005-09,1.61395,
2005-10,1.61875,
2005-11,1.61405,
2005-12,1.61545,
2006-01,1.62400,
2006-02,1.61230,
2006-03,1.63270,
2006-04,1.65545,
2006-05,1.67905,
2006-06,1.67915,
2006-07,1.68165,
2006-08,1.68940,
2006-09,1.68660,
2006-10,1.68770,
2006-11,1.71060,
2006-12,1.71190,
2007-01,1.70285,
2007-02,1.71415,
2007-03,1.72890,
2007-04,1.75130,
2007-05,1.74370,
2007-06,1.74450,
2007-07,1.74195,
2007-08,1.73845,
2007-09,1.76570,
2007-10,1.77675,
2007-11,1.79030,
2007-12,1.79415,
2008-01,1.79805,
2008-02,1.80910,
2008-03,1.83030,
2008-04,1.82265,
2008-05,1.82215,
2008-06,1.83515,
2008-07,1.83010,
2008-08,1.80325,
2008-09,1.78315,
2008-10,1.73925,
2008-11,1.78335,
2008-12,1.83885,
2009-01,1.83415,
2009-02,1.84740,
2009-03,1.86165,
2009-04,1.86395,
2009-05,1.88840,
2009-06,1.88800,
2009-07,1.88950,
2009-08,1.89815,
2009-09,1.90135,
2009-10,1.90690,
2009-11,1.91280,
2009-12,1.89065,
2010-01,1.87635,
2010-02,1.87675,
2010-03,1.88755,
2010-04,1.88530,
2010-05,1.84235,
2010-06,1.84990,
2010-07,1.88830,
2010-08,1.88380,
2010-09,1.93235,
2010-10,1.93070,
2010-11,1.90055,
2010-12,1.91270,
2011-01,1.92745,
2011-02,1.93160,
2011-03,1.95550,
2011-04,1.98675,
2011-05,1.96255,
2011-06,1.97100,
2011-07,1.95300,
2011-08,1.96300,
2011-09,1.91895,
2011-10,1.95580,
2011-11,1.92340,
2011-12,1.93340,
2012-01,1.96155,
2012-02,1.98990,
2012-03,1.98730,
2012-04,2.02650,
2012-05,1.99350,
2012-06,1.99900,
2012-07,1.98740,
2012-08,2.00300,
2012-09,2.02465,
2012-10,2.02890,
2012-11,2.03955,
2012-12,2.04715,
2013-01,2.08220,
2013-02,2.06345,
2013-03,2.04555,
2013-04,2.09175,
2013-05,2.12400,
2013-06,2.13235,
2013-07,2.16930,
2013-08,2.17340,
2013-09,2.18590,
2013-10,2.23580,
2013-11,2.26575,
2013-12,2.26055,
2014-01,2.17055,
2014-02,2.17795,
2014-03,2.17665,
2014-04,2.20595,
2014-05,2.22085,
2014-06,2.28995,
2014-07,2.30100,
2014-08,2.29105,
2014-09,2.26355,
2014-10,2.27105,
2014-11,2.28410,
2014-12,2.25900,
2015-01,2.18795,
"","Source: Calculated on the basis of the buying and selling rates of the Banque Centrale de Tunisie, Tunis.",
