"",BBK01.OEHK02V,BBK01.OEHK02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:35,
2002-01,0.725,
2002-04,0.736,
2002-07,0.801,
2002-10,0.877,
2003-01,0.847,
2003-04,0.853,
2003-07,0.845,
2003-10,0.866,
2004-01,0.841,
2004-04,0.855,
2004-07,0.860,
2004-10,0.894,
2005-01,0.835,
2005-04,0.850,
2005-07,0.874,
2005-10,0.923,
2006-01,0.873,
2006-04,0.891,
2006-07,0.935,
2006-10,0.993,
2007-01,0.954,
2007-04,0.967,
2007-07,1.009,
2007-10,1.053,
2008-01,1.003,
2008-04,1.003,
2008-07,1.025,
2008-10,1.091,
2009-01,1.060,
2009-04,1.101,
2009-07,1.149,
2009-10,1.215,
2010-01,1.186,
2010-04,1.219,
2010-07,1.272,
2010-10,1.353,
2011-01,1.306,
2011-04,1.326,
2011-07,1.383,
2011-10,1.425,
2012-01,1.380,
2012-04,1.397,
2012-07,1.477,
2012-10,1.515,
2013-01,1.482,
2013-04,1.521,
2013-07,1.609,
2013-10,1.676,
2014-01,1.651,
2014-04,1.719,
2014-07,1.857,
