"",BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:41,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,7.925,
1992-07,11.888,
1992-10,11.888,
1993-01,2.428,
1993-04,2.428,
1993-07,2.428,
1993-10,2.428,
1994-01,0.250,
1994-04,0.551,
1994-07,0.551,
1994-10,0.551,
1995-01,2.982,
1995-04,2.982,
1995-07,2.982,
1995-10,2.982,
1996-01,-0.374,
1996-04,-0.374,
1996-07,-0.374,
1996-10,-0.374,
1997-01,5.369,
1997-04,5.369,
1997-07,5.369,
1997-10,5.369,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,5.000,
1999-04,6.000,
1999-07,6.000,
1999-10,6.000,
2000-01,6.000,
2000-04,5.000,
2000-07,3.000,
2000-10,3.000,
2001-01,-1.128,
2001-04,-5.223,
2001-07,-2.215,
2001-10,-1.128,
2002-01,3.625,
2002-04,-13.652,
2002-07,-1.261,
2002-10,5.463,
2003-01,4.882,
2003-04,5.863,
2003-07,6.351,
2003-10,5.327,
2004-01,12.156,
2004-04,11.988,
2004-07,9.825,
2004-10,13.330,
2005-01,9.909,
2005-04,8.772,
2005-07,4.454,
2005-10,10.865,
2006-01,7.966,
2006-04,3.068,
2006-07,7.305,
2006-10,7.647,
2007-01,10.914,
2007-04,10.447,
2007-07,6.618,
2007-10,5.324,
2008-01,1.442,
2008-04,-51.298,
2008-07,-46.425,
2008-10,-0.935,
2009-01,4.865,
2009-04,2.019,
2009-07,-2.674,
2009-10,2.787,
2010-01,9.753,
2010-04,8.425,
2010-07,3.835,
2010-10,8.984,
2011-01,10.708,
2011-04,4.191,
2011-07,-13.509,
2011-10,6.608,
2012-01,9.545,
2012-04,-3.501,
2012-07,-2.533,
2012-10,4.450,
2013-01,12.486,
2013-04,2.486,
2013-07,-7.515,
2013-10,8.449,
2014-01,11.436,Provisional value
2014-04,11.446,Provisional value
2014-07,5.486,Provisional value
2014-10,11.451,Provisional value
