"",BBK01.OECB14V,BBK01.OECB14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:24,
2002-01,0.243,
2002-04,0.238,
2002-07,0.238,
2002-10,0.245,
2003-01,0.205,
2003-04,0.207,
2003-07,0.197,
2003-10,0.185,
2004-01,0.177,
2004-04,0.185,
2004-07,0.184,
2004-10,0.151,
2005-01,0.163,
2005-04,0.172,
2005-07,0.160,
2005-10,0.159,
2006-01,0.151,
2006-04,0.158,
2006-07,0.151,
2006-10,0.143,
2007-01,0.124,
2007-04,0.115,
2007-07,0.092,
2007-10,0.109,
2008-01,0.101,
2008-04,0.101,
2008-07,0.094,
2008-10,0.093,
2009-01,0.092,
2009-04,0.088,
2009-07,0.085,
2009-10,0.085,
2010-01,0.079,
2010-04,0.076,
2010-07,0.097,
2010-10,0.075,
2011-01,0.095,
2011-04,0.095,
2011-07,0.090,
2011-10,0.085,
2012-01,0.088,
2012-04,0.089,
2012-07,0.087,
2012-10,0.093,
2013-01,0.090,
2013-04,0.088,
2013-07,0.080,
2013-10,0.079,
2014-01,0.091,
2014-04,0.089,
2014-07,0.083,
