"",BBK01.OEAF38M,BBK01.OEAF38M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:37,
2002-01,0.659,
2002-04,0.662,
2002-07,0.667,
2002-10,0.651,
2003-01,0.657,
2003-04,0.681,
2003-07,0.692,
2003-10,0.708,
2004-01,0.707,
2004-04,0.695,
2004-07,0.690,
2004-10,0.721,
2005-01,0.719,
2005-04,0.718,
2005-07,0.796,
2005-10,0.815,
2006-01,0.796,
2006-04,0.787,
2006-07,0.802,
2006-10,0.858,
2007-01,0.836,
2007-04,0.838,
2007-07,0.830,
2007-10,0.793,
2008-01,0.783,
2008-04,0.811,
2008-07,0.825,
2008-10,0.828,
2009-01,0.834,
2009-04,0.797,
2009-07,0.783,
2009-10,0.775,
2010-01,0.775,
2010-04,0.734,
2010-07,0.751,
2010-10,0.754,
2011-01,0.766,
2011-04,0.756,
2011-07,0.745,
2011-10,0.756,
2012-01,0.745,
2012-04,0.730,
2012-07,0.729,
2012-10,0.724,
2013-01,0.707,
2013-04,0.725,
2013-07,0.707,
2013-10,0.690,
2014-01,0.692,
2014-04,0.687,
2014-07,0.697,
