"",BBK01.CEFENC,BBK01.CEFENC_FLAGS
"",short-term loans                                              debtor: Rest of the world                  creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:31,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.1,
2000-04,0.1,
2000-07,0.0,
2000-10,0.1,
2001-01,0.1,
2001-04,0.1,
2001-07,0.1,
2001-10,0.1,
2002-01,0.1,
2002-04,0.1,
2002-07,0.1,
2002-10,0.0,
2003-01,0.1,
2003-04,0.1,
2003-07,0.1,
2003-10,0.1,
2004-01,0.1,
2004-04,0.1,
2004-07,0.1,
2004-10,0.0,
2005-01,0.1,
2005-04,0.1,
2005-07,0.1,
2005-10,0.0,
2006-01,0.1,
2006-04,0.1,
2006-07,0.1,
2006-10,0.0,
2007-01,0.1,
2007-04,0.1,
2007-07,0.0,
2007-10,0.3,
2008-01,0.0,
2008-04,0.1,
2008-07,0.1,
2008-10,0.0,
2009-01,1.0,
2009-04,0.3,
2009-07,0.1,
2009-10,0.8,
2010-01,0.0,
2010-04,0.4,
2010-07,0.4,
2010-10,7.7,
2011-01,10.2,
2011-04,8.4,
2011-07,5.4,
2011-10,5.4,
2012-01,6.3,
2012-04,8.0,
2012-07,6.6,
2012-10,11.2,
2013-01,10.8,
2013-04,9.0,
2013-07,8.8,
2013-10,8.3,
2014-01,7.9,
2014-04,8.4,
2014-07,9.1,
