"",BBK01.OEAC30G,BBK01.OEAC30G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:43,
2002-01,3.249,
2002-04,3.335,
2002-07,3.437,
2002-10,3.073,
2003-01,3.060,
2003-04,3.037,
2003-07,2.771,
2003-10,2.359,
2004-01,2.250,
2004-04,2.162,
2004-07,2.095,
2004-10,1.962,
2005-01,2.058,
2005-04,1.930,
2005-07,1.891,
2005-10,1.830,
2006-01,1.996,
2006-04,1.944,
2006-07,1.894,
2006-10,1.674,
2007-01,1.726,
2007-04,1.693,
2007-07,1.672,
2007-10,1.599,
2008-01,1.703,
2008-04,1.715,
2008-07,1.706,
2008-10,1.596,
2009-01,1.800,
2009-04,1.812,
2009-07,1.732,
2009-10,1.554,
2010-01,1.589,
2010-04,1.585,
2010-07,1.547,
2010-10,1.391,
2011-01,1.495,
2011-04,1.504,
2011-07,1.439,
2011-10,1.326,
2012-01,1.404,
2012-04,1.429,
2012-07,1.402,
2012-10,1.296,
2013-01,1.391,
2013-04,1.345,
2013-07,1.308,
2013-10,1.130,
2014-01,1.178,
2014-04,1.236,
2014-07,1.180,
