"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:17,
1991-01,198.870,
1991-02,350.099,
1991-03,57.354,
1991-04,114.855,
1991-05,588.998,
1991-06,420.344,
1991-07,1430.589,
1991-08,1237.125,
1991-09,722.521,
1991-10,622.318,
1991-11,502.756,
1991-12,388.517,
1992-01,438.187,
1992-02,362.304,
1992-03,761.621,
1992-04,941.482,
1992-05,614.303,
1992-06,845.770,
1992-07,1382.628,
1992-08,754.396,
1992-09,911.409,
1992-10,1962.309,
1992-11,2369.594,
1992-12,1686.000,
1993-01,1668.698,
1993-02,2917.219,
1993-03,7037.027,
1993-04,1528.568,
1993-05,1812.824,
1993-06,2030.776,
1993-07,1047.698,
1993-08,1800.526,
1993-09,964.162,
1993-10,2527.674,
1993-11,1728.424,
1993-12,481.157,
1994-01,1846.921,
1994-02,1843.029,
1994-03,-838.188,
1994-04,2881.461,
1994-05,760.309,
1994-06,993.411,
1994-07,2154.145,
1994-08,2086.377,
1994-09,-1588.646,
1994-10,2421.837,
1994-11,1439.907,
1994-12,-3189.660,
1995-01,1282.361,
1995-02,1483.465,
1995-03,-417.015,
1995-04,1403.070,
1995-05,1422.286,
1995-06,2093.579,
1995-07,2366.995,
1995-08,1547.482,
1995-09,1927.855,
1995-10,1863.127,
1995-11,1057.539,
1995-12,1640.370,
1996-01,3477.348,
1996-02,1414.775,
1996-03,3137.814,
1996-04,1842.323,
1996-05,3675.938,
1996-06,3181.971,
1996-07,8165.060,
1996-08,4767.807,
1996-09,4606.052,
1996-10,5901.763,
1996-11,5690.933,
1996-12,5141.603,
1997-01,12153.190,
1997-02,4923.118,
1997-03,5891.545,
1997-04,11540.908,
1997-05,6008.268,
1997-06,6348.804,
1997-07,11762.115,
1997-08,5813.125,
1997-09,6952.483,
1997-10,11412.040,
1997-11,7090.509,
1997-12,7626.691,
1998-01,14813.798,
1998-02,9251.479,
1998-03,9444.400,
1998-04,10508.427,
1998-05,9565.683,
1998-06,8850.083,
1998-07,13773.060,
1998-08,7700.974,
1998-09,8585.653,
1998-10,9242.868,
1998-11,6387.448,
1998-12,4834.439,
1999-01,8903.859,
1999-02,7001.316,
1999-03,6036.392,
1999-04,12672.436,
1999-05,7865.207,
1999-06,7644.791,
1999-07,14228.286,
1999-08,13291.115,
1999-09,16660.676,
1999-10,14359.116,
1999-11,26590.091,
1999-12,18319.895,
2000-01,17775.045,
2000-02,16454.920,
2000-03,14192.963,
2000-04,23749.495,
2000-05,18259.224,
2000-06,19954.142,
2000-07,21569.734,
2000-08,16010.381,
2000-09,21954.707,
2000-10,24863.220,
2000-11,22526.641,
2000-12,22529.883,
2001-01,26669.432,
2001-02,19012.237,
2001-03,21947.120,
2001-04,26418.651,
2001-05,21385.249,
2001-06,20994.096,
2001-07,26864.515,
2001-08,18949.048,
2001-09,18621.859,
2001-10,28937.441,
2001-11,24541.004,
2001-12,19222.593,
2002-01,25333.002,
2002-02,21096.801,
2002-03,18182.869,
2002-04,28048.741,
2002-05,26781.957,
2002-06,30582.791,
2002-07,34092.792,
2002-08,31699.410,
2002-09,30269.883,
2002-10,36815.852,
2002-11,40873.674,
2002-12,31103.337,
2003-01,51694.841,
2003-02,49311.220,
2003-03,38332.330,
2003-04,41993.497,
2003-05,48699.439,
2003-06,34693.849,
2003-07,38161.908,
2003-08,36941.656,
2003-09,36876.986,
2003-10,38704.455,
2003-11,40544.774,
2003-12,28918.098,
2004-01,39707.242,
2004-02,32070.779,
2004-03,37291.397,
2004-04,33425.911,
2004-05,36753.985,
2004-06,37496.418,
2004-07,41560.408,
2004-08,39323.548,
2004-09,32653.251,
2004-10,37066.179,
2004-11,44485.834,
2004-12,31597.709,
2005-01,45556.470,
2005-02,34031.039,
2005-03,38543.364,
2005-04,39235.903,
2005-05,38133.134,
2005-06,50074.831,
2005-07,49991.047,
2005-08,45326.848,
2005-09,36292.205,
2005-10,32345.425,
2005-11,38273.429,
2005-12,34346.728,
2006-01,42026.770,
2006-02,37264.924,
2006-03,36430.944,
2006-04,39461.554,
2006-05,38847.002,
2006-06,60810.334,
2006-07,38102.730,
2006-08,53948.321,
2006-09,42543.268,
2006-10,39289.812,
2006-11,35499.771,
2006-12,43705.813,
2007-01,38838.006,
2007-02,37513.929,
2007-03,42430.474,
2007-04,41514.968,
2007-05,42906.465,
2007-06,47200.756,
2007-07,49005.259,
2007-08,50285.978,
2007-09,52354.676,
2007-10,54539.454,
2007-11,53590.086,
2007-12,43568.303,
2008-01,62286.188,
2008-02,55087.639,
2008-03,62875.051,
2008-04,60500.864,
2008-05,66194.330,
2008-06,68569.541,
2008-07,69804.724,
2008-08,57398.360,
2008-09,68163.219,
2008-10,85293.751,
2008-11,57647.209,
2008-12,61842.593,
2009-01,73573.785,
2009-02,60181.486,
2009-03,65211.930,
2009-04,64320.610,
2009-05,60689.602,
2009-06,49580.972,
2009-07,60068.317,
2009-08,112202.574,
2009-09,78407.294,
2009-10,50812.535,
2009-11,96654.889,
2009-12,71774.833,
2010-01,44496.289,
2010-02,52902.650,
2010-03,58909.666,
2010-04,59300.496,
2010-05,52013.090,
2010-06,108716.412,
2010-07,54290.107,
2010-08,63503.251,
2010-09,73075.569,
2010-10,56112.082,
2010-11,69786.200,
2010-12,58332.690,
2011-01,49211.722,
2011-02,49244.604,
2011-03,57796.411,
2011-04,50951.021,
2011-05,70752.647,
2011-06,69523.109,
2011-07,64012.801,
2011-08,87280.400,
2011-09,72760.980,
2011-10,64620.120,
2011-11,83365.783,
2011-12,66121.836,
2012-01,71051.349,
2012-02,70367.626,
2012-03,62179.825,
2012-04,55254.794,
2012-05,72882.475,
2012-06,68764.003,
2012-07,81785.703,
2012-08,63755.828,
2012-09,58038.872,
2012-10,71459.307,
2012-11,75865.516,
2012-12,52022.258,
2013-01,74083.000,
2013-02,80312.918,
2013-03,82660.164,
2013-04,92694.553,
2013-05,88679.945,
2013-06,85696.629,
2013-07,104038.587,
2013-08,82455.349,
