"",BBK01.OEHL09O,BBK01.OEHL09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:26,
2002-01,3.501,
2002-04,3.250,
2002-07,3.144,
2002-10,3.162,
2003-01,3.054,
2003-04,2.940,
2003-07,2.878,
2003-10,2.937,
2004-01,3.022,
2004-04,2.920,
2004-07,2.923,
2004-10,3.076,
2005-01,3.074,
2005-04,3.103,
2005-07,2.661,
2005-10,2.879,
2006-01,3.054,
2006-04,3.166,
2006-07,3.180,
2006-10,3.296,
2007-01,3.189,
2007-04,2.941,
2007-07,2.691,
2007-10,2.576,
2008-01,2.264,
2008-04,1.961,
2008-07,1.791,
2008-10,1.782,
2009-01,2.108,
2009-04,2.571,
2009-07,3.076,
2009-10,3.723,
2010-01,3.941,
2010-04,3.749,
2010-07,3.532,
2010-10,3.321,
2011-01,3.129,
2011-04,2.962,
2011-07,2.886,
2011-10,2.776,
2012-01,2.698,
2012-04,2.610,
2012-07,2.608,
2012-10,2.703,
2013-01,2.692,
2013-04,2.644,
2013-07,2.550,
2013-10,2.565,
2014-01,2.550,
2014-04,2.540,
2014-07,2.547,
