"",BBFN1.M.DE.N.1.A.BG.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BG.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Bulgaria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:54,
1994-07,0.092,
1994-08,0.102,
1994-09,0.101,
1994-10,0.098,
1994-11,0.098,
1994-12,0.104,
1995-01,0.109,
1995-02,0.122,
1995-03,0.118,
1995-04,0.119,
1995-05,0.115,
1995-06,0.121,
1995-07,0.121,
1995-08,0.119,
1995-09,0.128,
1995-10,0.123,
1995-11,0.139,
1995-12,0.139,
1996-01,0.134,
1996-02,0.126,
1996-03,0.144,
1996-04,0.146,
1996-05,0.147,
1996-06,0.152,
1996-07,0.152,
1996-08,0.154,
1996-09,0.147,
1996-10,0.159,
1996-11,0.165,
1996-12,0.145,
1997-01,0.133,
1997-02,0.139,
1997-03,0.136,
1997-04,0.147,
1997-05,0.150,
1997-06,0.154,
1997-07,0.154,
1997-08,0.155,
1997-09,0.149,
1997-10,0.154,
1997-11,0.154,
1997-12,0.154,
1998-01,0.153,
1998-02,0.165,
1998-03,0.163,
1998-04,0.165,
1998-05,0.176,
1998-06,0.185,
1998-07,0.175,
1998-08,0.161,
1998-09,0.164,
1998-10,0.165,
1998-11,0.160,
1998-12,0.152,
1999-01,0.155,
1999-02,0.161,
1999-03,0.168,
1999-04,0.129,
1999-05,0.149,
1999-06,0.154,
1999-07,0.130,
1999-08,0.141,
1999-09,0.135,
1999-10,0.146,
1999-11,0.142,
1999-12,0.137,
2000-01,0.133,
2000-02,0.135,
2000-03,0.136,
2000-04,0.138,
2000-05,0.152,
2000-06,0.157,
2000-07,0.160,
2000-08,0.162,
2000-09,0.158,
2000-10,0.151,
2000-11,0.154,
2000-12,0.154,
2001-01,0.153,
2001-02,0.153,
2001-03,0.164,
2001-04,0.169,
2001-05,0.165,
2001-06,0.187,
2001-07,0.183,
2001-08,0.185,
2001-09,0.196,
2001-10,0.192,
2001-11,0.196,
2001-12,0.181,
2002-01,0.155,
2002-02,0.153,
2002-03,0.159,
2002-04,0.162,
2002-05,0.162,
2002-06,0.166,
2002-07,0.169,
2002-08,0.166,
2002-09,0.176,
2002-10,0.172,
2002-11,0.164,
2002-12,0.158,
2003-01,0.157,
2003-02,0.154,
2003-03,0.146,
2003-04,0.151,
2003-05,0.154,
2003-06,0.152,
2003-07,0.158,
2003-08,0.156,
2003-09,0.158,
2003-10,0.160,
2003-11,0.160,
2003-12,0.161,
2004-01,0.150,
2004-02,0.147,
2004-03,0.156,
2004-04,0.153,
2004-05,0.164,
2004-06,0.170,
2004-07,0.165,
2004-08,0.168,
2004-09,0.217,
2004-10,0.186,
2004-11,0.181,
2004-12,0.176,
2005-01,0.167,
2005-02,0.181,
2005-03,0.183,
2005-04,0.205,
2005-05,0.197,
2005-06,0.200,
2005-07,0.204,
2005-08,0.204,
2005-09,0.209,
2005-10,0.218,
2005-11,0.230,
2005-12,0.204,
2006-01,0.197,
2006-02,0.213,
2006-03,0.236,
2006-04,0.234,
2006-05,0.250,
2006-06,0.259,
2006-07,0.261,
2006-08,0.261,
2006-09,0.322,
2006-10,0.321,
2006-11,0.314,
2006-12,0.305,
2007-01,0.306,
2007-02,0.331,
2007-03,0.338,
2007-04,0.375,
2007-05,0.389,
2007-06,0.368,
2007-07,0.351,
2007-08,0.351,
2007-09,0.346,
2007-10,0.361,
2007-11,0.360,
2007-12,0.346,
2008-01,0.336,
2008-02,0.347,
2008-03,0.360,
2008-04,0.385,
2008-05,0.427,
2008-06,0.418,
2008-07,0.406,
2008-08,0.388,
2008-09,0.433,
2008-10,0.421,
2008-11,0.374,
2008-12,0.351,
2009-01,0.333,
2009-02,0.327,
2009-03,0.332,
2009-04,0.320,
2009-05,0.314,
2009-06,0.314,
2009-07,0.308,
2009-08,0.301,
2009-09,0.319,
2009-10,0.307,
2009-11,0.300,
2009-12,0.281,
2010-01,0.278,
2010-02,0.285,
2010-03,0.316,
2010-04,0.304,
2010-05,0.326,
2010-06,0.313,
2010-07,0.258,
2010-08,0.268,
2010-09,0.261,
2010-10,0.263,
2010-11,0.288,
2010-12,0.568,
2011-01,0.310,
2011-02,0.316,
2011-03,0.327,
2011-04,0.323,
2011-05,0.319,
2011-06,0.342,
2011-07,0.335,
2011-08,0.334,
2011-09,0.338,
2011-10,0.360,
2011-11,0.327,
2011-12,0.383,
2012-01,0.370,
2012-02,0.378,
2012-03,0.421,
2012-04,0.423,
2012-05,0.405,
2012-06,0.423,
2012-07,0.414,
2012-08,0.413,
2012-09,0.425,
2012-10,0.442,
2012-11,0.382,
2012-12,0.356,
2013-01,0.333,
2013-02,0.331,
2013-03,0.360,
2013-04,0.336,
2013-05,0.334,
2013-06,0.341,
2013-07,0.351,
2013-08,0.409,
2013-09,0.331,
2013-10,0.346,
2013-11,0.349,
2013-12,0.327,
2014-01,0.323,
2014-02,0.304,
2014-03,0.337,
2014-04,0.335,
2014-05,0.338,
2014-06,0.352,
2014-07,0.323,
2014-08,0.346,
2014-09,0.314,
2014-10,0.329,
2014-11,0.295,
2014-12,0.295,
