"",BBK01.OELL07M,BBK01.OELL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:21,
2002-01,15.020,
2002-04,14.866,
2002-07,14.811,
2002-10,15.111,
2003-01,15.273,
2003-04,15.083,
2003-07,15.067,
2003-10,15.282,
2004-01,15.333,
2004-04,15.308,
2004-07,15.222,
2004-10,15.570,
2005-01,15.452,
2005-04,15.365,
2005-07,15.274,
2005-10,15.440,
2006-01,15.409,
2006-04,15.280,
2006-07,15.072,
2006-10,15.000,
2007-01,14.554,
2007-04,14.197,
2007-07,13.823,
2007-10,13.776,
2008-01,13.443,
2008-04,13.041,
2008-07,12.648,
2008-10,12.857,
2009-01,13.084,
2009-04,13.259,
2009-07,13.479,
2009-10,14.119,
2010-01,14.549,
2010-04,14.665,
2010-07,14.645,
2010-10,14.805,
2011-01,14.921,
2011-04,14.939,
2011-07,14.875,
2011-10,14.994,
2012-01,14.964,
2012-04,14.919,
2012-07,14.762,
2012-10,14.908,
2013-01,14.953,
2013-04,14.930,
2013-07,14.931,
2013-10,15.071,
2014-01,15.125,
2014-04,15.106,
2014-07,15.094,
