"",BBK01.OECB11V,BBK01.OECB11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:23,
2002-01,0.234,
2002-04,0.256,
2002-07,0.238,
2002-10,0.263,
2003-01,0.271,
2003-04,0.274,
2003-07,0.278,
2003-10,0.264,
2004-01,0.266,
2004-04,0.285,
2004-07,0.295,
2004-10,0.178,
2005-01,0.180,
2005-04,0.172,
2005-07,0.119,
2005-10,0.116,
2006-01,0.113,
2006-04,0.142,
2006-07,0.173,
2006-10,0.232,
2007-01,0.233,
2007-04,0.231,
2007-07,0.212,
2007-10,0.315,
2008-01,0.385,
2008-04,0.411,
2008-07,0.436,
2008-10,0.422,
2009-01,0.413,
2009-04,0.493,
2009-07,0.446,
2009-10,0.396,
2010-01,0.350,
2010-04,0.345,
2010-07,0.258,
2010-10,0.240,
2011-01,0.232,
2011-04,0.237,
2011-07,0.248,
2011-10,0.256,
2012-01,0.248,
2012-04,0.210,
2012-07,0.227,
2012-10,0.242,
2013-01,0.263,
2013-04,0.279,
2013-07,0.257,
2013-10,0.262,
2014-01,0.249,
2014-04,0.252,
2014-07,0.243,
