"",BBK01.OEBK03H,BBK01.OEBK03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:03,
2002-01,2.781,
2002-04,2.630,
2002-07,2.732,
2002-10,2.614,
2003-01,2.448,
2003-04,2.324,
2003-07,2.085,
2003-10,2.057,
2004-01,1.704,
2004-04,1.486,
2004-07,1.813,
2004-10,1.773,
2005-01,1.877,
2005-04,1.856,
2005-07,1.761,
2005-10,1.920,
2006-01,2.056,
2006-04,2.328,
2006-07,2.505,
2006-10,2.946,
2007-01,3.003,
2007-04,3.073,
2007-07,3.887,
2007-10,4.598,
2008-01,4.758,
2008-04,4.922,
2008-07,5.244,
2008-10,4.910,
2009-01,3.162,
2009-04,2.919,
2009-07,2.800,
2009-10,2.698,
2010-01,2.255,
2010-04,2.063,
2010-07,1.855,
2010-10,1.766,
2011-01,1.718,
2011-04,1.812,
2011-07,1.841,
2011-10,1.921,
2012-01,1.759,
2012-04,1.647,
2012-07,1.553,
2012-10,1.478,
2013-01,1.257,
2013-04,1.263,
2013-07,1.523,
2013-10,1.649,
2014-01,1.673,
2014-04,1.591,
2014-07,1.799,
