"",BBK01.OEAD06Q,BBK01.OEAD06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:14,
2002-01,0.720,
2002-04,0.762,
2002-07,0.815,
2002-10,0.736,
2003-01,0.800,
2003-04,0.774,
2003-07,0.865,
2003-10,0.847,
2004-01,0.839,
2004-04,0.678,
2004-07,0.672,
2004-10,0.627,
2005-01,0.649,
2005-04,0.659,
2005-07,0.684,
2005-10,0.707,
2006-01,0.698,
2006-04,0.680,
2006-07,0.939,
2006-10,0.788,
2007-01,0.989,
2007-04,1.012,
2007-07,1.054,
2007-10,1.071,
2008-01,0.573,
2008-04,0.597,
2008-07,0.681,
2008-10,0.691,
2009-01,0.744,
2009-04,0.778,
2009-07,0.783,
2009-10,0.707,
2010-01,0.783,
2010-04,0.739,
2010-07,0.634,
2010-10,0.517,
2011-01,0.441,
2011-04,0.429,
2011-07,0.400,
2011-10,0.482,
2012-01,0.492,
2012-04,0.580,
2012-07,0.587,
2012-10,0.604,
2013-01,0.573,
2013-04,0.496,
2013-07,0.503,
2013-10,0.495,
2014-01,0.493,
2014-04,0.469,
2014-07,0.474,
