"",BBK01.OEAH79Q,BBK01.OEAH79Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:25,
2002-01,0.015,
2002-04,0.015,
2002-07,0.015,
2002-10,0.020,
2003-01,0.022,
2003-04,0.021,
2003-07,0.021,
2003-10,0.034,
2004-01,0.038,
2004-04,0.038,
2004-07,0.038,
2004-10,0.024,
2005-01,0.025,
2005-04,0.025,
2005-07,0.024,
2005-10,0.024,
2006-01,0.021,
2006-04,0.021,
2006-07,0.021,
2006-10,0.006,
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,0.001,
2008-04,0.001,
2008-07,0.001,
2008-10,0.001,
2009-01,0.001,
2009-04,0.001,
2009-07,0.001,
2009-10,0.001,
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,-,Nothing exists
2011-01,-,Nothing exists
2011-04,0.001,
2011-07,0.001,
2011-10,0.001,
2012-01,0.001,
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
