"",BBK01.OEBO03N,BBK01.OEBO03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:17,
2002-01,7.703,
2002-04,8.817,
2002-07,5.869,
2002-10,6.510,
2003-01,6.568,
2003-04,6.345,
2003-07,6.778,
2003-10,6.295,
2004-01,7.589,
2004-04,6.452,
2004-07,5.906,
2004-10,5.008,
2005-01,4.073,
2005-04,3.887,
2005-07,2.335,
2005-10,2.904,
2006-01,2.132,
2006-04,1.749,
2006-07,1.282,
2006-10,1.470,
2007-01,1.710,
2007-04,1.532,
2007-07,1.625,
2007-10,1.276,
2008-01,1.795,
2008-04,2.378,
2008-07,2.150,
2008-10,3.775,
2009-01,2.649,
2009-04,1.964,
2009-07,0.993,
2009-10,2.919,
2010-01,6.475,
2010-04,4.168,
2010-07,5.258,
2010-10,4.511,
2011-01,4.999,
2011-04,4.731,
2011-07,4.150,
2011-10,4.167,
2012-01,4.934,
2012-04,3.553,
2012-07,3.582,
2012-10,3.881,
2013-01,5.285,
2013-04,3.538,
2013-07,3.249,
2013-10,2.735,
2014-01,2.785,
2014-04,2.391,
2014-07,2.404,
