"",BBK01.OEBB04L,BBK01.OEBB04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:16,
2002-01,37.750,
2002-04,37.965,
2002-07,39.083,
2002-10,39.708,
2003-01,40.622,
2003-04,42.457,
2003-07,43.041,
2003-10,46.550,
2004-01,48.129,
2004-04,49.625,
2004-07,53.605,
2004-10,54.218,
2005-01,60.017,
2005-04,63.958,
2005-07,66.604,
2005-10,80.665,
2006-01,87.558,
2006-04,88.287,
2006-07,90.647,
2006-10,91.168,
2007-01,93.239,
2007-04,93.921,
2007-07,98.772,
2007-10,107.136,
2008-01,109.791,
2008-04,107.556,
2008-07,108.990,
2008-10,109.303,
2009-01,106.565,
2009-04,109.745,
2009-07,110.607,
2009-10,110.810,
2010-01,112.011,
2010-04,114.508,
2010-07,119.434,
2010-10,118.822,
2011-01,120.442,
2011-04,123.300,
2011-07,125.175,
2011-10,125.510,
2012-01,124.719,
2012-04,126.442,
2012-07,126.623,
2012-10,122.473,
2013-01,122.280,
2013-04,123.228,
2013-07,123.906,
2013-10,125.022,
2014-01,126.694,
2014-04,127.385,
2014-07,131.665,
