"",BBK01.OEXB24L,BBK01.OEXB24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:43,
2002-01,0.827,
2002-04,0.745,
2002-07,0.974,
2002-10,0.906,
2003-01,0.604,
2003-04,0.474,
2003-07,0.446,
2003-10,0.428,
2004-01,0.856,
2004-04,0.662,
2004-07,1.130,
2004-10,0.750,
2005-01,2.653,
2005-04,2.652,
2005-07,2.592,
2005-10,6.501,
2006-01,7.390,
2006-04,7.047,
2006-07,6.469,
2006-10,6.450,
2007-01,6.401,
2007-04,6.098,
2007-07,6.101,
2007-10,5.875,
2008-01,5.696,
2008-04,5.759,
2008-07,5.836,
2008-10,5.789,
2009-01,5.566,
2009-04,5.451,
2009-07,5.553,
2009-10,5.344,
2010-01,4.911,
2010-04,5.510,
2010-07,5.438,
2010-10,5.496,
2011-01,5.231,
2011-04,5.139,
2011-07,5.182,
2011-10,5.176,
2012-01,4.951,
2012-04,4.849,
2012-07,4.786,
2012-10,4.649,
2013-01,4.219,
2013-04,4.269,
2013-07,4.164,
2013-10,3.916,
2014-01,3.680,
2014-04,3.805,
2014-07,3.805,
