"",BBK01.OEXK01J,BBK01.OEXK01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:57,
2002-01,0.325,
2002-04,0.321,
2002-07,0.340,
2002-10,0.370,
2003-01,0.335,
2003-04,0.333,
2003-07,0.343,
2003-10,0.361,
2004-01,0.367,
2004-04,0.369,
2004-07,0.374,
2004-10,0.370,
2005-01,0.369,
2005-04,0.365,
2005-07,0.310,
2005-10,0.307,
2006-01,0.293,
2006-04,0.300,
2006-07,0.273,
2006-10,0.281,
2007-01,0.283,
2007-04,0.290,
2007-07,0.296,
2007-10,0.307,
2008-01,0.298,
2008-04,0.324,
2008-07,0.335,
2008-10,0.332,
2009-01,0.308,
2009-04,0.296,
2009-07,0.315,
2009-10,0.318,
2010-01,0.309,
2010-04,0.314,
2010-07,0.306,
2010-10,0.306,
2011-01,0.306,
2011-04,0.325,
2011-07,0.355,
2011-10,0.369,
2012-01,0.369,
2012-04,0.367,
2012-07,0.366,
2012-10,0.377,
2013-01,0.391,
2013-04,0.404,
2013-07,0.420,
2013-10,0.428,
2014-01,0.446,
2014-04,0.432,
2014-07,0.429,
