"",BBK01.OEBM02I,BBK01.OEBM02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:22,
2002-01,0.189,
2002-04,0.196,
2002-07,0.192,
2002-10,0.206,
2003-01,0.267,
2003-04,0.328,
2003-07,0.149,
2003-10,0.150,
2004-01,0.305,
2004-04,0.230,
2004-07,0.244,
2004-10,0.437,
2005-01,0.567,
2005-04,0.696,
2005-07,0.707,
2005-10,0.734,
2006-01,0.821,
2006-04,0.703,
2006-07,0.636,
2006-10,0.770,
2007-01,0.555,
2007-04,0.560,
2007-07,0.577,
2007-10,0.591,
2008-01,0.523,
2008-04,0.449,
2008-07,0.402,
2008-10,0.784,
2009-01,2.313,
2009-04,2.360,
2009-07,2.994,
2009-10,2.392,
2010-01,2.551,
2010-04,2.876,
2010-07,2.019,
2010-10,2.056,
2011-01,2.455,
2011-04,2.354,
2011-07,1.653,
2011-10,3.921,
2012-01,1.873,
2012-04,1.530,
2012-07,1.413,
2012-10,1.478,
2013-01,1.841,
2013-04,1.973,
2013-07,1.772,
2013-10,1.316,
2014-01,0.971,
2014-04,1.165,
2014-07,1.345,
