"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:04,
1991-01,-30.099,
1991-04,-9.130,
1991-07,-9.593,
1991-10,-38.095,
1992-01,51.993,
1992-04,71.068,
1992-07,64.953,
1992-10,61.673,
1993-01,-58.016,
1993-04,-6.523,
1993-07,-2.731,
1993-10,-32.866,
1994-01,38.147,
1994-04,50.876,
1994-07,88.638,
1994-10,87.620,
1995-01,67.228,
1995-04,86.968,
1995-07,87.801,
1995-10,88.806,
1996-01,-12.708,
1996-04,39.414,
1996-07,39.258,
1996-10,23.644,
1997-01,-391.435,
1997-04,-373.741,
1997-07,-365.314,
1997-10,-374.198,
1998-01,-354.120,
1998-04,-213.130,
1998-07,11.496,
1998-10,-159.659,
1999-01,-337.232,
1999-04,-36.333,
1999-07,151.961,
1999-10,123.275,
2000-01,101.221,
2000-04,-15.928,
2000-07,75.185,
2000-10,106.154,
2001-01,-167.410,
2001-04,124.723,
2001-07,159.030,
2001-10,-103.358,
2002-01,125.964,
2002-04,139.974,
2002-07,173.873,
2002-10,127.919,
2003-01,-146.584,
2003-04,3.570,
2003-07,109.214,
2003-10,327.834,
2004-01,659.787,
2004-04,636.881,
2004-07,293.125,
2004-10,863.920,
2005-01,669.477,
2005-04,585.840,
2005-07,93.543,
2005-10,595.084,
2006-01,760.103,
2006-04,620.438,
2006-07,282.137,
2006-10,564.686,
2007-01,1321.983,
2007-04,907.958,
2007-07,802.508,
2007-10,-355.949,
2008-01,338.556,
2008-04,77.934,
2008-07,-422.593,
2008-10,-51.067,
2009-01,679.688,
2009-04,345.541,
2009-07,626.229,
2009-10,649.414,
2010-01,1457.510,
2010-04,667.407,
2010-07,1655.736,
2010-10,1379.786,
2011-01,1935.307,
2011-04,1303.242,
2011-07,1711.420,
2011-10,1645.296,
2012-01,1962.261,
2012-04,179.793,
2012-07,1454.937,
2012-10,1551.591,
2013-01,2552.730,
2013-04,707.411,
2013-07,1558.614,
2013-10,2157.959,
2014-01,2485.076,Provisional value
2014-04,328.578,Provisional value
2014-07,1925.847,Provisional value
2014-10,1952.775,Provisional value
