"",BBK01.OEXO04Q,BBK01.OEXO04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:03,
2002-01,-0.028,
2002-04,-0.052,
2002-07,0.026,
2002-10,0.031,
2003-01,0.068,
2003-04,-0.022,
2003-07,-0.074,
2003-10,-0.075,
2004-01,-0.036,
2004-04,-0.065,
2004-07,-0.058,
2004-10,-0.005,
2005-01,0.009,
2005-04,-0.023,
2005-07,-0.041,
2005-10,0.010,
2006-01,0.015,
2006-04,-0.001,
2006-07,0.008,
2006-10,0.017,
2007-01,0.148,
2007-04,0.069,
2007-07,0.065,
2007-10,0.107,
2008-01,0.057,
2008-04,-,Nothing exists
2008-07,0.055,
2008-10,0.277,
2009-01,-0.014,
2009-04,0.018,
2009-07,0.028,
2009-10,-0.188,
2010-01,-0.133,
2010-04,-0.033,
2010-07,-0.058,
2010-10,0.106,
2011-01,0.084,
2011-04,-0.085,
2011-07,-0.041,
2011-10,-0.031,
2012-01,-0.063,
2012-04,-0.017,
2012-07,-0.036,
2012-10,-0.057,
2013-01,-0.103,
2013-04,-0.071,
2013-07,-0.012,
2013-10,-0.012,
2014-01,-0.008,
2014-04,-0.026,
2014-07,0.085,
