"",BBK01.OEBK02T,BBK01.OEBK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:01,
2002-01,0.247,
2002-04,0.258,
2002-07,0.256,
2002-10,0.265,
2003-01,0.250,
2003-04,0.268,
2003-07,0.268,
2003-10,0.261,
2004-01,0.275,
2004-04,0.288,
2004-07,0.281,
2004-10,0.296,
2005-01,0.303,
2005-04,0.306,
2005-07,0.291,
2005-10,0.316,
2006-01,0.308,
2006-04,0.308,
2006-07,0.321,
2006-10,0.322,
2007-01,0.327,
2007-04,0.333,
2007-07,0.337,
2007-10,0.356,
2008-01,0.340,
2008-04,0.339,
2008-07,0.348,
2008-10,0.389,
2009-01,0.412,
2009-04,0.430,
2009-07,0.404,
2009-10,0.426,
2010-01,0.414,
2010-04,0.487,
2010-07,0.527,
2010-10,0.560,
2011-01,0.529,
2011-04,0.535,
2011-07,0.552,
2011-10,0.589,
2012-01,0.566,
2012-04,0.638,
2012-07,0.709,
2012-10,0.764,
2013-01,0.769,
2013-04,0.776,
2013-07,0.798,
2013-10,0.848,
2014-01,0.751,
2014-04,0.733,
2014-07,0.768,
