"",BBEX3.M.BIF.USD.CA.AB.A01,BBEX3.M.BIF.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Burundi / USD 1 = BIF ... (selling),
unit,BIF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:07,
1990-01,175.7790,
1990-02,177.1088,
1990-03,180.5050,
1990-04,179.1791,
1990-05,176.4733,
1990-06,176.4346,
1990-07,171.8892,
1990-08,168.5938,
1990-09,167.6545,
1990-10,162.1195,
1990-11,161.9951,
1990-12,165.0728,
1991-01,162.7279,
1991-02,164.3694,
1991-03,173.9943,
1991-04,175.8390,
1991-05,173.4103,
1991-06,176.9038,
1991-07,174.8439,
1991-08,205.0532,comment
1991-09,202.0319,
1991-10,202.9743,
1991-11,197.7363,
1991-12,192.0524,
1992-01,196.1391,
1992-02,198.5712,
1992-03,200.2955,
1992-04,200.0400,
1992-05,213.0133,
1992-06,211.3074,
1992-07,207.7279,
1992-08,201.8847,
1992-09,209.6763,
1992-10,222.8639,
1992-11,236.4776,
1992-12,238.4405,
1993-01,235.2887,
1993-02,240.7072,
1993-03,238.2506,
1993-04,232.5673,
1993-05,233.2162,
1993-06,241.3973,
1993-07,247.5838,
1993-08,243.7738,
1993-09,244.1240,
1993-10,261.7678,
1993-11,264.6121,
1993-12,266.4953,
1994-01,265.4266,
1994-02,262.4610,
1994-03,259.3173,
1994-04,257.7017,
1994-05,257.2596,
1994-06,251.0774,
1994-07,251.9257,
1994-08,250.5126,
1994-09,247.0134,
1994-10,243.4253,
1994-11,250.0750,
1994-12,248.9197,
1995-01,244.6970,
1995-02,242.2483,
1995-03,236.4849,
1995-04,242.5112,
1995-05,243.3813,
1995-06,243.1523,
1995-07,242.7652,
1995-08,254.2424,
1995-09,262.0223,
1995-10,268.5165,
1995-11,275.7477,
1995-12,280.1463,
1996-01,288.0354,
1996-02,283.1294,
1996-03,283.8037,
1996-04,287.3735,
1996-05,288.4252,
1996-06,319.8903,
1996-07,318.0935,
1996-08,317.9630,
1996-09,322.5001,
1996-10,320.4191,
1996-11,321.6821,
1996-12,324.9254,
1997-01,336.7676,
1997-02,342.7193,
1997-03,341.8858,
1997-04,347.3535,
1997-05,342.5255,
1997-06,345.4325,
1997-07,357.3896,
1997-08,353.2569,
1997-09,351.0555,
1997-10,343.5748,
1997-11,406.9730,
1997-12,411.6489,
1998-01,417.2442,
1998-02,414.6806,
1998-03,419.0060,
1998-04,412.5700,
1998-05,413.1139,
1998-06,433.3380,
1998-07,479.8708,
1998-08,477.0371,
1998-09,494.2272,
1998-10,502.8030,
1998-11,517.2873,
1998-12,509.2016,
1999-01,517.0629,
1999-02,531.1003,
1999-03,539.8630,
1999-04,542.7560,
1999-05,548.7203,
1999-06,552.7133,
1999-07,538.2146,
1999-08,614.8087,
1999-09,613.2557,
1999-10,617.2711,
1999-11,632.9375,
1999-12,633.6055,
2000-01,647.5971,
2000-02,653.9675,
2000-03,657.8088,
2000-04,678.0782,
2000-05,668.4619,
2000-06,658.6138,
2000-07,793.6656,
2000-08,782.9758,
2000-09,806.4000,
2000-10,812.4682,
2000-11,839.5778,
2000-12,784.4256,
2001-01,779.2848,
2001-02,780.4030,
2001-03,784.0481,
2001-04,809.6760,
2001-05,901.1520,
2001-06,836.6141,
2001-07,853.7760,
2001-08,853.2720,
2001-09,854.0078,
2001-10,865.2168,
2001-11,869.3496,
2001-12,871.1136,
2002-01,872.9820,
2002-02,873.4648,
2002-03,760.4107,
2002-04,872.3755,
2002-05,872.3568,
2002-06,872.3568,
2002-07,891.3840,
2002-08,1072.0839,
2002-09,1081.5938,
2002-10,1082.5161,
2002-11,1075.4599,
2002-12,1078.4840,
2003-01,1075.3847,
2003-02,1089.3804,
2003-03,1099.9716,
2003-04,1076.4275,
2003-05,1080.0216,
2003-06,1084.8613,
2003-07,1088.9575,
2003-08,1146.2897,
2003-09,1106.6269,
2003-10,1086.1473,
2003-11,1101.4208,
2003-12,1101.7440,
2004-01,1104.9343,
2004-02,1106.1404,
2004-03,1107.1306,
2004-04,1109.2290,
2004-05,1110.6875,
2004-06,1111.5512,
2004-07,1111.7490,
2004-08,1111.7588,
2004-09,1111.7672,
2004-10,1111.5065,
2004-11,1109.3458,
2004-12,1118.3902,
2005-01,1134.3730,
2005-02,1156.0147,
2005-03,1154.4926,
2005-04,1123.7789,
2005-05,1106.3304,
2005-06,1099.3550,
2005-07,1088.6489,
2005-08,1070.6049,
2005-09,1049.7071,
2005-10,1028.4956,
2005-11,1010.4112,
2005-12,1009.7534,
2006-01,1014.4288,
2006-02,1019.7620,
2006-03,1029.7100,
2006-04,1033.0192,
2006-05,1042.6231,
2006-06,1040.0020,
2006-07,1042.2284,
2006-08,1061.8511,
2006-09,1069.6638,
2006-10,1071.8092,
2006-11,1062.9947,
2006-12,1014.4996,
2007-01,1051.8424,
2007-02,1063.4804,
2007-03,1054.0992,
2007-04,1059.2199,
2007-05,1075.0881,
2007-06,1102.4728,
2007-07,1109.1520,
2007-08,1118.6952,
2007-09,1124.9392,
2007-10,1148.3670,
2007-11,1158.0417,
2007-12,1132.9745,
2008-01,1170.9650,
2008-02,1176.4500,
2008-03,1193.3808,
2008-04,1182.3398,
2008-05,1193.6034,
2008-06,1204.0157,
2008-07,1198.9051,
2008-08,1187.4240,
2008-09,1199.3184,
2008-10,1217.5733,
2008-11,1246.3416,
2008-12,1243.3478,comment
2009-01,1242.1181,
2009-02,1240.2734,
2009-03,1244.3659,
2009-04,1236.8160,
2009-05,1238.5800,
2009-06,1240.0920,
2009-07,1240.3440,
