"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.LU.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.LU.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Luxembourg,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:44,
2009-09,363,
2009-10,363,
2009-11,369,
2009-12,369,
2010-01,359,
2010-02,359,
2010-03,359,
2010-04,359,
2010-05,359,
2010-06,353,
2010-07,353,
2010-08,353,
2010-09,353,
2010-10,353,
2010-11,354,
2010-12,368,
2011-01,368,
2011-02,368,
2011-03,368,
2011-04,368,
2011-05,368,
2011-06,368,
2011-07,368,
2011-08,368,
2011-09,369,
2011-10,372,
2011-11,369,
2011-12,371,
2012-01,371,
2012-02,372,
2012-03,372,
2012-04,372,
2012-05,372,
2012-06,373,
2012-07,369,
2012-08,369,
2012-09,369,
2012-10,369,
2012-11,370,
2012-12,371,
2013-01,370,
2013-02,383,
2013-03,369,
2013-04,369,
2013-05,389,
2013-06,499,
2013-07,389,
2013-08,387,
2013-09,387,
2013-10,387,
2013-11,386,
2013-12,402,
2014-01,289,
2014-02,287,
2014-03,291,
2014-04,291,
2014-05,285,
2014-06,285,
2014-07,258,
2014-08,251,
2014-09,251,
2014-10,251,
2014-11,250,
