"",BBK01.OEAD19I,BBK01.OEAD19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:06,
2002-01,0.119,
2002-04,0.140,
2002-07,0.144,
2002-10,0.153,
2003-01,0.145,
2003-04,0.061,
2003-07,0.074,
2003-10,0.039,
2004-01,0.043,
2004-04,0.042,
2004-07,0.050,
2004-10,0.047,
2005-01,0.040,
2005-04,0.037,
2005-07,0.036,
2005-10,0.033,
2006-01,0.039,
2006-04,0.043,
2006-07,0.042,
2006-10,0.042,
2007-01,0.041,
2007-04,0.038,
2007-07,0.040,
2007-10,0.043,
2008-01,0.029,
2008-04,0.028,
2008-07,0.026,
2008-10,0.021,
2009-01,0.020,
2009-04,0.017,
2009-07,0.020,
2009-10,0.022,
2010-01,0.026,
2010-04,0.026,
2010-07,0.031,
2010-10,0.022,
2011-01,0.024,
2011-04,0.023,
2011-07,0.021,
2011-10,0.012,
2012-01,0.011,
2012-04,0.010,
2012-07,0.016,
2012-10,0.010,
2013-01,0.010,
2013-04,0.012,
2013-07,0.012,
2013-10,0.010,
2014-01,0.011,
2014-04,0.012,
2014-07,0.019,
