"",BBEX3.M.CUC.EUR.CA.AA.A01,BBEX3.M.CUC.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Cuba / EUR 1 = CUC ... (buying),
unit,CUC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:52,
2009-03,1.19136,
2009-04,1.16951,
2009-05,1.24870,
2009-06,1.25891,
2009-07,1.26249,
2009-08,1.28668,
2009-09,1.31400,
2009-10,1.32538,
2009-11,1.33506,
2009-12,1.29179,
2010-01,1.25183,
2010-02,1.21385,
2010-03,1.20023,
2010-04,1.18142,
2010-05,1.10733,
2010-06,1.08987,
2010-07,1.17139,
2010-08,1.13788,
2010-09,1.21788,
2010-10,1.24583,
2010-11,1.17157,
2010-12,1.17622,
2011-01,1.22666,
2011-02,1.22988,
2011-03,1.36078,
2011-04,1.43480,
2011-05,1.38091,
2011-06,1.39029,
2011-07,1.38217,
2011-08,1.39397,
2011-09,1.31889,
2011-10,1.36920,
2011-11,1.29070,
2011-12,1.25648,
2012-01,1.26795,
2012-02,1.29759,
2012-03,1.28438,
2012-04,1.28153,
2012-05,1.20152,
2012-06,1.20350,
2012-07,1.18569,
2012-08,1.21503,
2012-09,1.24548,
2012-10,1.25488,
2012-11,1.25802,
2012-12,1.28390,
2013-01,1.31149,
2013-02,1.26678,
2013-03,1.23510,
2013-04,1.26636,
2013-05,1.26050,
2013-06,1.26018,
2013-07,1.28431,
2013-08,1.28126,
2013-09,1.31138,
2013-10,1.33247,
2013-11,1.31636,
2013-12,1.33509,
2014-01,1.31392,
2014-02,1.32377,
2014-03,1.33165,
2014-04,1.33718,
2014-05,1.31570,
2014-06,1.31904,
2014-07,1.29427,
2014-08,1.27336,
2014-09,1.22921,
2014-10,1.22024,
2014-11,1.20836,
2014-12,1.17744,
2015-01,1.09608,
"","General: The ISO code CUC was introduced on 1 March 2009.   Alongside the convertible peso (CUC), which is primarily used by foreigners, there is the Cuban peso (CUP), which is used by residents to purchase their basic needs, among other things.   Foreign currencies can be freely exchanged in Cuba for convertible pesos (CUC), and they enable both residentsand foreigners to purchase items which the government considers to be luxury articles.   In its national accounts, the Cuban government fixes the ratio of convertible peso (CUC) to Cuban peso (CUP) at 1:1. In reality, Cuban pesos can only be exchanged for convertible pesos at a considerable discount.",
"","Source: Banco Metropolitano, Havana.",
