"",BBK01.OEAC05U,BBK01.OEAC05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:03,
2002-01,1.307,
2002-04,1.304,
2002-07,1.265,
2002-10,1.285,
2003-01,1.252,
2003-04,1.241,
2003-07,1.214,
2003-10,1.188,
2004-01,1.150,
2004-04,1.159,
2004-07,1.136,
2004-10,1.142,
2005-01,1.122,
2005-04,1.113,
2005-07,1.093,
2005-10,1.071,
2006-01,1.064,
2006-04,1.052,
2006-07,1.029,
2006-10,0.999,
2007-01,0.976,
2007-04,0.957,
2007-07,0.954,
2007-10,0.957,
2008-01,0.951,
2008-04,0.959,
2008-07,0.955,
2008-10,0.947,
2009-01,0.895,
2009-04,0.985,
2009-07,0.970,
2009-10,0.927,
2010-01,0.941,
2010-04,0.936,
2010-07,0.887,
2010-10,0.884,
2011-01,0.874,
2011-04,0.875,
2011-07,0.883,
2011-10,0.876,
2012-01,0.880,
2012-04,0.941,
2012-07,0.940,
2012-10,0.934,
2013-01,0.926,
2013-04,0.924,
2013-07,0.927,
2013-10,0.919,
2014-01,0.902,
2014-04,0.881,
2014-07,0.894,
