"",BBSF2.M.1.T.00000.DER01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DER01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Derivative funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:27,
2009-09,3,
2009-10,16,
2009-11,26,
2009-12,26,
2010-01,25,
2010-02,25,
2010-03,25,
2010-04,25,
2010-05,25,
2010-06,15,
2010-07,15,
2010-08,15,
2010-09,12,
2010-10,32,
2010-11,32,
2010-12,31,
2011-01,31,
2011-02,31,
2011-03,15,
2011-04,15,
2011-05,15,
2011-06,15,
2011-07,31,
2011-08,61,
2011-09,92,
2011-10,92,
2011-11,92,
2011-12,91,
2012-01,92,
2012-02,91,
2012-03,30,
2012-04,30,
2012-05,30,
2012-06,29,
2012-07,29,
2012-08,29,
2012-09,21,
2012-10,21,
2012-11,21,
2012-12,21,
2013-01,0,
2013-02,3,
2013-03,4,
2013-04,5,
2013-05,5,
2013-06,4,
2013-07,4,
2013-08,4,
2013-09,4,
2013-10,4,
2013-11,4,
2013-12,3,
2014-01,4,
2014-02,4,
2014-03,4,
2014-04,3,
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,4,
2014-10,4,
2014-11,2,
