"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.EUR.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:14,
1971-06,1.838,
1971-07,1.797,
1971-08,1.664,
1971-09,1.693,
1971-10,1.600,
1971-11,1.431,
1971-12,1.221,
1972-01,1.368,
1972-02,1.514,
1972-03,1.433,
1972-04,1.348,
1972-05,1.299,
1972-06,1.272,
1972-07,1.204,
1972-08,1.423,
1972-09,1.377,
1972-10,1.351,
1972-11,1.153,
1972-12,0.997,
1973-01,0.962,
1973-02,0.879,
1973-03,0.795,
1973-04,0.778,
1973-05,0.793,
1973-06,0.845,
1973-07,0.839,
1973-08,0.831,
1973-09,0.850,
1973-10,0.805,
1973-11,0.800,
1973-12,0.779,
1974-01,0.779,
1974-02,0.802,
1974-03,0.858,
1974-04,0.889,
1974-05,0.920,
1974-06,0.853,
1974-07,0.871,
1974-08,0.863,
1974-09,0.942,
1974-10,0.950,
1974-11,0.917,
1974-12,1.047,
1975-01,1.204,
1975-02,1.110,
1975-03,1.115,
1975-04,1.168,
1975-05,1.173,
1975-06,1.170,
1975-07,1.206,
1975-08,1.242,
1975-09,1.440,
1975-10,1.165,
1975-11,1.350,
1975-12,1.294,
1976-01,1.456,
1976-02,1.573,
1976-03,1.572,
1976-04,1.547,
1976-05,1.579,
1976-06,1.970,
1976-07,1.716,
1976-08,1.910,
1976-09,1.819,
1976-10,1.772,
1976-11,1.774,
1976-12,1.767,
1977-01,1.779,
1977-02,1.819,
1977-03,1.949,
1977-04,2.029,
1977-05,2.209,
1977-06,2.153,
1977-07,2.193,
1977-08,2.277,
1977-09,2.662,
1977-10,2.476,
1977-11,2.256,
1977-12,2.220,
1978-01,2.506,
1978-02,2.381,
1978-03,2.367,
1978-04,2.232,
1978-05,2.278,
1978-06,2.212,
1978-07,2.136,
1978-08,2.257,
1978-09,2.465,
1978-10,2.479,
1978-11,2.370,
1978-12,2.342,
1979-01,2.459,
1979-02,2.326,
1979-03,2.288,
1979-04,2.370,
1979-05,2.312,
1979-06,2.263,
1979-07,1.948,
1979-08,2.217,
1979-09,1.982,
1979-10,2.442,
1979-11,2.420,
1979-12,2.149,
1980-01,2.316,
1980-02,2.482,
1980-03,2.405,
1980-04,2.311,
1980-05,2.285,
1980-06,2.267,
1980-07,2.335,
1980-08,2.610,
1980-09,2.648,
1980-10,2.670,
1980-11,2.509,
1980-12,2.320,
1981-01,2.362,
1981-02,2.410,
1981-03,2.546,
1981-04,2.560,
1981-05,2.760,
1981-06,2.610,
1981-07,2.740,
1981-08,2.798,
1981-09,2.742,
1981-10,2.595,
1981-11,2.601,
1981-12,2.588,
1982-01,2.834,
1982-02,2.841,
1982-03,2.842,
1982-04,2.765,
1982-05,2.773,
1982-06,2.876,
1982-07,2.944,
1982-08,2.889,
1982-09,3.035,
1982-10,3.004,
1982-11,3.147,
1982-12,2.784,
1983-01,3.047,
1983-02,2.912,
1983-03,3.136,
1983-04,3.007,
1983-05,2.931,
1983-06,3.021,
1983-07,2.950,
1983-08,2.989,
1983-09,3.042,
1983-10,3.053,
1983-11,3.074,
1983-12,3.427,
1984-01,2.843,
1984-02,2.994,
1984-03,2.982,
1984-04,3.103,
1984-05,2.917,
1984-06,3.004,
1984-07,3.143,
1984-08,3.191,
1984-09,3.172,
1984-10,3.503,
1984-11,3.383,
1984-12,3.397,
1985-01,3.430,
1985-02,3.459,
1985-03,3.627,
1985-04,3.298,
1985-05,3.335,
1985-06,3.363,
1985-07,3.280,
1985-08,3.325,
1985-09,3.335,
1985-10,3.473,
1985-11,3.657,
1985-12,5.972,
1986-01,4.953,
1986-02,5.150,
1986-03,5.236,
1986-04,5.364,
1986-05,5.605,
1986-06,5.436,
1986-07,5.482,
1986-08,5.515,
1986-09,5.382,
1986-10,5.383,
1986-11,5.232,
1986-12,4.934,
1987-01,5.205,
1987-02,5.126,
1987-03,5.532,
1987-04,5.569,
1987-05,5.640,
1987-06,5.640,
1987-07,5.980,
1987-08,6.240,
1987-09,6.292,
1987-10,6.553,
1987-11,6.191,
1987-12,6.042,
1988-01,6.069,
1988-02,6.171,
1988-03,6.274,
1988-04,6.276,
1988-05,6.262,
1988-06,6.157,
1988-07,6.238,
1988-08,6.667,
1988-09,6.832,
1988-10,6.995,
1988-11,6.877,
1988-12,5.702,
1989-01,5.786,
1989-02,5.837,
1989-03,5.789,
1989-04,5.853,
1989-05,5.946,
1989-06,6.523,
1989-07,6.542,
1989-08,7.147,
1989-09,7.684,
1989-10,7.938,
1989-11,8.314,
1989-12,9.161,
1990-01,8.344,
1990-02,8.889,
1990-03,9.378,
1990-04,10.644,
1990-05,9.941,
1990-06,9.907,
1990-07,9.072,
1990-08,10.791,
1990-09,11.338,
1990-10,11.914,
1990-11,11.795,
1990-12,12.159,
1991-01,12.845,
1991-02,12.777,
1991-03,13.464,
1991-04,13.441,
1991-05,13.802,
1991-06,15.397,
1991-07,16.097,
1991-08,16.171,
1991-09,16.065,
1991-10,16.903,
1991-11,16.106,
1991-12,16.090,
1992-01,14.286,
1992-02,15.396,
1992-03,15.571,
1992-04,16.548,
1992-05,16.815,
1992-06,16.716,
1992-07,16.759,
1992-08,17.080,
1992-09,16.856,
1992-10,17.120,
1992-11,18.075,
1992-12,18.365,
1993-01,18.120,
1993-02,18.053,
1993-03,18.933,
1993-04,19.151,
1993-05,19.528,
1993-06,19.087,
1993-07,19.485,
1993-08,20.196,
1993-09,20.803,
1993-10,21.166,
1993-11,20.723,
1993-12,20.343,
1994-01,19.847,
1994-02,20.775,
1994-03,21.064,
1994-04,20.866,
1994-05,21.153,
1994-06,21.018,
1994-07,21.220,
1994-08,21.839,
1994-09,21.566,
1994-10,22.580,
1994-11,22.156,
1994-12,21.971,
1995-01,20.970,
1995-02,21.741,
1995-03,22.802,
1995-04,24.276,
1995-05,23.493,
1995-06,23.330,
1995-07,23.726,
1995-08,23.677,
1995-09,24.206,
1995-10,24.209,
1995-11,24.146,
1995-12,24.272,
1996-01,23.121,
1996-02,24.508,
1996-03,24.595,
1996-04,24.552,
1996-05,24.371,
1996-06,25.384,
1996-07,24.135,
1996-08,24.631,
1996-09,26.117,
1996-10,26.033,
1996-11,27.221,
1996-12,27.859,
1997-01,26.057,
1997-02,27.687,
1997-03,27.753,
1997-04,27.574,
1997-05,27.488,
1997-06,27.612,
1997-07,27.550,
1997-08,27.927,
1997-09,29.386,
1997-10,27.829,
1997-11,28.108,
1997-12,30.861,
1998-01,28.575,
1998-02,28.498,
1998-03,29.497,
1998-04,29.126,
1998-05,31.011,
1998-06,30.438,
1998-07,30.615,
1998-08,31.150,
1998-09,31.324,
1998-10,31.305,
1998-11,31.517,
1998-12,32.679,
1999-01,35.927,
1999-02,37.456,
1999-03,38.463,
