"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.GB.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.GB.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:47,
2009-09,34660,
2009-10,35980,
2009-11,36607,
2009-12,37240,
2010-01,38344,
2010-02,38700,
2010-03,40294,
2010-04,41067,
2010-05,40757,
2010-06,40754,
2010-07,42099,
2010-08,43638,
2010-09,44751,
2010-10,46092,
2010-11,46487,
2010-12,46817,
2011-01,46681,
2011-02,46407,
2011-03,46295,
2011-04,46706,
2011-05,47590,
2011-06,47130,
2011-07,47801,
2011-08,46480,
2011-09,46095,
2011-10,43793,
2011-11,46782,
2011-12,47799,
2012-01,49333,
2012-02,50938,
2012-03,51639,
2012-04,52744,
2012-05,52726,
2012-06,52898,
2012-07,54112,
2012-08,54171,
2012-09,53683,
2012-10,53454,
2012-11,52991,
2012-12,53474,
2013-01,51479,
2013-02,52183,
2013-03,52912,
2013-04,53558,
2013-05,53016,
2013-06,51932,
2013-07,52532,
2013-08,52208,
2013-09,52246,
2013-10,52228,
2013-11,53616,
2013-12,53087,
2014-01,52533,
2014-02,53447,
2014-03,53123,
2014-04,53870,
2014-05,55100,
2014-06,56951,
2014-07,57250,
2014-08,58200,
2014-09,59283,
2014-10,59052,
2014-11,61050,
