"",BBK01.OEAE23N,BBK01.OEAE23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:42,
2002-01,0.341,
2002-04,0.347,
2002-07,0.352,
2002-10,0.326,
2003-01,0.326,
2003-04,0.325,
2003-07,0.329,
2003-10,0.326,
2004-01,0.299,
2004-04,0.300,
2004-07,0.296,
2004-10,0.278,
2005-01,0.280,
2005-04,0.284,
2005-07,0.285,
2005-10,0.290,
2006-01,0.291,
2006-04,0.285,
2006-07,0.291,
2006-10,0.281,
2007-01,0.279,
2007-04,0.279,
2007-07,0.267,
2007-10,0.264,
2008-01,0.279,
2008-04,0.270,
2008-07,0.268,
2008-10,0.264,
2009-01,0.252,
2009-04,0.255,
2009-07,0.269,
2009-10,0.279,
2010-01,0.279,
2010-04,0.270,
2010-07,0.280,
2010-10,0.285,
2011-01,0.273,
2011-04,0.294,
2011-07,0.281,
2011-10,0.284,
2012-01,0.283,
2012-04,0.300,
2012-07,0.306,
2012-10,0.311,
2013-01,0.311,
2013-04,0.306,
2013-07,0.311,
2013-10,0.315,
2014-01,0.309,
2014-04,0.305,
2014-07,0.290,
