"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.GR.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.GR.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Greece,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:42,
2009-09,1689,
2009-10,1749,
2009-11,1983,
2009-12,1871,
2010-01,1647,
2010-02,1705,
2010-03,1863,
2010-04,1428,
2010-05,1267,
2010-06,903,
2010-07,801,
2010-08,790,
2010-09,806,
2010-10,745,
2010-11,706,
2010-12,679,
2011-01,682,
2011-02,661,
2011-03,520,
2011-04,377,
2011-05,245,
2011-06,213,
2011-07,169,
2011-08,115,
2011-09,76,
2011-10,70,
2011-11,47,
2011-12,46,
2012-01,45,
2012-02,38,
2012-03,12,
2012-04,12,
2012-05,8,
2012-06,9,
2012-07,8,
2012-08,10,
2012-09,12,
2012-10,14,
2012-11,17,
2012-12,12,
2013-01,10,
2013-02,11,
2013-03,10,
2013-04,10,
2013-05,11,
2013-06,10,
2013-07,15,
2013-08,15,
2013-09,16,
2013-10,17,
2013-11,41,
2013-12,41,
2014-01,32,
2014-02,24,
2014-03,27,
2014-04,35,
2014-05,32,
2014-06,33,
2014-07,29,
2014-08,27,
2014-09,26,
2014-10,35,
2014-11,37,
