"",BBK01.OECO03P,BBK01.OECO03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:46,
2002-01,0.049,
2002-04,0.078,
2002-07,0.029,
2002-10,0.027,
2003-01,0.048,
2003-04,0.031,
2003-07,0.027,
2003-10,0.028,
2004-01,0.044,
2004-04,0.036,
2004-07,0.033,
2004-10,0.045,
2005-01,0.100,
2005-04,0.073,
2005-07,0.060,
2005-10,0.077,
2006-01,0.092,
2006-04,0.082,
2006-07,0.085,
2006-10,0.092,
2007-01,0.099,
2007-04,0.075,
2007-07,0.067,
2007-10,0.074,
2008-01,0.072,
2008-04,0.071,
2008-07,0.054,
2008-10,0.061,
2009-01,0.070,
2009-04,0.062,
2009-07,0.078,
2009-10,0.071,
2010-01,0.088,
2010-04,0.070,
2010-07,0.042,
2010-10,0.055,
2011-01,0.077,
2011-04,0.080,
2011-07,0.089,
2011-10,0.048,
2012-01,0.074,
2012-04,0.061,
2012-07,0.067,
2012-10,0.052,
2013-01,0.092,
2013-04,0.054,
2013-07,0.062,
2013-10,0.044,
2014-01,0.043,
2014-04,0.037,
2014-07,0.041,
