"",BBK01.OEAH17P,BBK01.OEAH17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:31,
2002-01,4.517,
2002-04,4.474,
2002-07,4.428,
2002-10,4.645,
2003-01,4.691,
2003-04,4.663,
2003-07,4.683,
2003-10,4.853,
2004-01,4.663,
2004-04,4.687,
2004-07,4.692,
2004-10,5.110,
2005-01,5.259,
2005-04,5.065,
2005-07,5.122,
2005-10,5.350,
2006-01,5.345,
2006-04,5.258,
2006-07,5.546,
2006-10,5.952,
2007-01,5.949,
2007-04,6.383,
2007-07,6.727,
2007-10,7.092,
2008-01,7.189,
2008-04,7.305,
2008-07,7.626,
2008-10,7.590,
2009-01,7.312,
2009-04,7.147,
2009-07,6.933,
2009-10,6.352,
2010-01,6.183,
2010-04,5.821,
2010-07,5.997,
2010-10,6.291,
2011-01,6.400,
2011-04,6.691,
2011-07,7.038,
2011-10,7.272,
2012-01,7.305,
2012-04,6.796,
2012-07,7.018,
2012-10,6.688,
2013-01,7.171,
2013-04,6.392,
2013-07,5.957,
2013-10,5.337,
2014-01,5.468,
2014-04,5.538,
2014-07,5.377,
