"",BBK01.SUD130Z,BBK01.SUD130Z_FLAGS
"",Effective interest rates of German banks / New business / Loans for consumption to households,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:26:56,
2003-01,6.99,
2003-02,7.18,
2003-03,7.19,
2003-04,7.25,
2003-05,7.34,
2003-06,7.14,
2003-07,7.21,
2003-08,7.10,
2003-09,6.98,
2003-10,6.86,
2003-11,6.84,
2003-12,6.39,
2004-01,7.37,
2004-02,7.23,
2004-03,7.14,
2004-04,6.88,
2004-05,6.99,
2004-06,7.14,
2004-07,7.26,
2004-08,7.21,
2004-09,7.13,
2004-10,7.05,
2004-11,6.99,
2004-12,6.43,
2005-01,7.05,
2005-02,6.96,
2005-03,6.95,
2005-04,7.00,
2005-05,7.01,
2005-06,6.97,
2005-07,7.05,
2005-08,7.14,
2005-09,6.89,
2005-10,6.85,
2005-11,6.72,
2005-12,6.21,
2006-01,6.74,
2006-02,6.78,
2006-03,6.63,
2006-04,6.55,
2006-05,6.41,
2006-06,6.37,
2006-07,6.53,
2006-08,6.69,
2006-09,6.43,
2006-10,6.14,
2006-11,6.15,
2006-12,5.90,
2007-01,6.88,
2007-02,6.99,
2007-03,7.01,
2007-04,6.91,
2007-05,7.02,
2007-06,6.88,
2007-07,7.03,
2007-08,7.11,
2007-09,6.94,
2007-10,6.97,
2007-11,6.73,
2007-12,6.41,
2008-01,6.83,
2008-02,7.06,
2008-03,6.88,
2008-04,6.87,
2008-05,6.92,
2008-06,6.84,
2008-07,7.04,
2008-08,7.02,
2008-09,6.95,
2008-10,6.88,
2008-11,6.78,
2008-12,6.32,
2009-01,6.64,
2009-02,6.42,
2009-03,6.23,
2009-04,6.15,
2009-05,6.26,
2009-06,6.12,
2009-07,6.36,
2009-08,6.39,
2009-09,6.25,
2009-10,6.09,
2009-11,5.71,
2009-12,5.32,
2010-01,5.96,
2010-02,5.92,
2010-03,5.69,
2010-04,5.77,
2010-05,5.68,
2010-06,6.20,
2010-07,6.51,
2010-08,6.54,
2010-09,6.50,
2010-10,6.26,
2010-11,6.21,
2010-12,5.82,
2011-01,6.26,
2011-02,6.20,
2011-03,6.37,
2011-04,6.20,
2011-05,6.39,
2011-06,6.34,
2011-07,6.30,
2011-08,6.35,
2011-09,6.45,
2011-10,6.35,
2011-11,6.12,
2011-12,5.77,
2012-01,6.28,
2012-02,6.19,
2012-03,6.04,
2012-04,6.01,
2012-05,6.03,
2012-06,6.08,
2012-07,6.38,
2012-08,6.20,
2012-09,6.11,
2012-10,6.10,
2012-11,5.98,
2012-12,5.73,
2013-01,6.47,
2013-02,6.23,
2013-03,6.15,
2013-04,6.18,
2013-05,6.29,
2013-06,6.29,
2013-07,6.42,
2013-08,6.34,
2013-09,6.32,
2013-10,6.33,
2013-11,6.22,
2013-12,5.87,
2014-01,6.47,
2014-02,6.32,
2014-03,6.12,
2014-04,6.20,
2014-05,6.25,
2014-06,6.24,
2014-07,6.23,
2014-08,6.14,
2014-09,5.98,
2014-10,6.03,
2014-11,5.88,
2014-12,5.62,Provisional value
"","General: Volume-weighted average rates of all new agreements concluded during the reporting month. The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. Excluding overdrafts. p = Provisional",
