"",BBFB1.Q.N.DE.F1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:09,
1991-01,-142.565,
1991-04,-203.953,
1991-07,-205.194,
1991-10,-275.742,
1992-01,-429.697,
1992-04,-563.399,
1992-07,-330.296,
1992-10,-565.172,
1993-01,-213.480,
1993-04,-239.991,
1993-07,-150.074,
1993-10,58.989,
1994-01,-10.645,
1994-04,288.309,
1994-07,140.113,
1994-10,222.610,
1995-01,58.457,
1995-04,196.935,
1995-07,367.187,
1995-10,753.986,
1996-01,-532.450,
1996-04,244.107,
1996-07,125.584,
1996-10,178.209,
1997-01,-576.971,
1997-04,-16.109,
1997-07,371.410,
1997-10,370.217,
1998-01,252.249,
1998-04,498.672,
1998-07,1015.414,
1998-10,1108.870,
1999-01,570.697,
1999-04,556.582,
1999-07,699.107,
1999-10,416.372,
2000-01,-360.111,
2000-04,84.845,
2000-07,-596.993,
2000-10,-238.400,
2001-01,17.927,
2001-04,614.695,
2001-07,52.124,
2001-10,451.546,
2002-01,327.483,
2002-04,637.233,
2002-07,639.210,
2002-10,80.724,
2003-01,442.586,
2003-04,614.049,
2003-07,461.198,
2003-10,473.342,
2004-01,847.650,
2004-04,1213.601,
2004-07,584.576,
2004-10,235.491,
2005-01,736.805,
2005-04,680.344,
2005-07,371.595,
2005-10,375.266,
2006-01,423.915,
2006-04,757.960,
2006-07,252.997,
2006-10,1352.504,
2007-01,1246.312,
2007-04,1070.201,
2007-07,1105.067,
2007-10,1103.780,
2008-01,622.051,
2008-04,663.985,
2008-07,576.530,
2008-10,2091.253,
2009-01,1710.850,
2009-04,1710.983,
2009-07,1576.757,
2009-10,2051.116,
2010-01,1729.162,
2010-04,1138.812,
2010-07,1899.401,
2010-10,1607.851,
2011-01,328.383,
2011-04,804.321,
2011-07,802.273,
2011-10,492.715,
2012-01,467.105,
2012-04,1352.816,
2012-07,1144.472,
2012-10,-383.517,
2013-01,405.988,
2013-04,763.916,
2013-07,889.360,
2013-10,909.103,
2014-01,1182.012,Provisional value
2014-04,2063.410,Provisional value
2014-07,1160.857,Provisional value
