"",BBK01.OEAH65H,BBK01.OEAH65H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:06,
2002-01,4.320,
2002-04,4.358,
2002-07,4.371,
2002-10,4.306,
2003-01,4.119,
2003-04,3.846,
2003-07,3.685,
2003-10,3.546,
2004-01,3.344,
2004-04,3.026,
2004-07,2.861,
2004-10,2.806,
2005-01,2.753,
2005-04,2.786,
2005-07,2.797,
2005-10,3.132,
2006-01,3.845,
2006-04,4.502,
2006-07,5.249,
2006-10,6.504,
2007-01,8.087,
2007-04,9.285,
2007-07,10.510,
2007-10,12.101,
2008-01,13.293,
2008-04,14.357,
2008-07,15.657,
2008-10,16.448,
2009-01,14.487,
2009-04,11.614,
2009-07,8.878,
2009-10,7.070,
2010-01,5.878,
2010-04,5.098,
2010-07,4.665,
2010-10,4.716,
2011-01,4.929,
2011-04,5.261,
2011-07,5.380,
2011-10,5.747,
2012-01,5.502,
2012-04,5.080,
2012-07,4.428,
2012-10,3.988,
2013-01,3.376,
2013-04,2.806,
2013-07,2.534,
2013-10,2.462,
2014-01,2.359,
2014-04,2.360,
2014-07,2.321,
